*WATER BALANCE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  NOV 17, 2024 23:26:50

*RUN   1        : silt_loam_13in_irr        MZCER048 UNLI2201    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : UNLI2201 MZ IRRIGATED MAIZE PRODUCTION
 DATA PATH      :
 TREATMENT  1   : silt_loam_13in_irr        MZCER048
  
@YEAR DOY   DAS    SWTD    FWTD    SNTD   MWTD   IRRD   PRED  RESAD   LFLOD  MEVAP   DRND   ROFD   FROD   ESAD   EPAD   EFAD   TDFD    WBAL   CUMWBAL        TOTS    TOTU    TOTX    TOTT    TOTL
 2022 120     0  298.30    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00    0.00      0.00        0.00    0.00    0.00    0.00    0.00
 2022 121     1  297.37    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.93   0.00   0.00   0.00    0.00      0.00        0.00   -0.93    0.00    0.00    0.00
 2022 122     2  330.38    0.00    0.00   0.00   0.00  36.60   0.00    0.00   0.00   0.00   2.93   0.00   0.66   0.00   0.00   0.00    0.00      0.00       33.67   -0.66    0.00    0.00    0.00
 2022 123     3  314.48    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00  12.65   0.00   0.00   3.25   0.00   0.00   0.00    0.00      0.00      -12.65   -3.25    0.00    0.00    0.00
 2022 124     4  319.12    0.00    0.00   0.00   0.00   5.30   0.00    0.00   0.00   0.00   0.00   0.00   0.67   0.00   0.00   0.00    0.00      0.00        5.30   -0.67    0.00    0.00    0.00
 2022 125     5  319.61    0.00    0.00   0.00   0.00   2.80   0.00    0.00   0.00   0.00   0.00   0.00   2.31   0.00   0.00   0.00   -0.00      0.00        2.80   -2.31    0.00    0.00    0.00
 2022 126     6  305.98    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   7.77   0.00   0.00   5.86   0.00   0.00   0.00   -0.00      0.00       -7.77   -5.86    0.00    0.00    0.00
 2022 127     7  312.29    0.00    0.00   0.00   0.00  11.70   0.00    0.00   0.00   0.00   0.00   0.00   5.39   0.00   0.00   0.00    0.00      0.00       11.70   -5.39    0.00    0.00    0.00
 2022 128     8  302.23    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   4.37   0.00   0.00   5.69   0.00   0.00   0.00    0.00      0.00       -4.37   -5.69    0.00    0.00    0.00
 2022 129     9  295.82    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.55   0.00   0.00   5.86   0.00   0.00   0.00   -0.00      0.00       -0.55   -5.86    0.00    0.00    0.00
 2022 130    10  290.25    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   5.56   0.00   0.00   0.00    0.00      0.00        0.00   -5.56    0.00    0.00    0.00
 2022 131    11  289.43    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.83   0.00   0.00   0.00   -0.00      0.00        0.00   -0.83    0.00    0.00    0.00
 2022 132    12  288.66    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.77   0.00   0.00   0.00   -0.00      0.00        0.00   -0.77    0.00    0.00    0.00
 2022 133    13  287.95    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.71   0.00   0.00   0.00    0.00      0.00        0.00   -0.71    0.00    0.00    0.00
 2022 134    14  287.29    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.66   0.00   0.00   0.00   -0.00      0.00        0.00   -0.66    0.00    0.00    0.00
 2022 135    15  287.63    0.00    0.00   0.00   0.00   1.00   0.00    0.00   0.00   0.00   0.00   0.00   0.66   0.00   0.00   0.00   -0.00      0.00        1.00   -0.66    0.00    0.00    0.00
 2022 136    16  287.26    0.00    0.00   0.00   0.00   0.30   0.00    0.00   0.00   0.00   0.00   0.00   0.67   0.00   0.00   0.00   -0.00      0.00        0.30   -0.67    0.00    0.00    0.00
 2022 137    17  286.62    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.64   0.00   0.00   0.00   -0.00      0.00        0.00   -0.64    0.00    0.00    0.00
 2022 138    18  286.01    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.59   0.02   0.00   0.00   -0.00     -0.00        0.00   -0.59   -0.02    0.00    0.00
 2022 139    19  285.43    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.55   0.02   0.00   0.00   -0.00     -0.00        0.00   -0.55   -0.02    0.00    0.00
 2022 140    20  284.91    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.52   0.01   0.00   0.00   -0.00     -0.00        0.00   -0.52   -0.01    0.00    0.00
 2022 141    21  284.40    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.48   0.02   0.00   0.00   -0.00     -0.00        0.00   -0.48   -0.02    0.00    0.00
 2022 142    22  283.94    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.45   0.02   0.00   0.00   -0.00     -0.00        0.00   -0.45   -0.02    0.00    0.00
 2022 143    23  293.84    0.00    0.00   0.00   0.00  10.70   0.00    0.00   0.00   0.00   0.00   0.00   0.80   0.00   0.00   0.00   -0.00     -0.00       10.70   -0.80   -0.00    0.00    0.00
 2022 144    24  294.41    0.00    0.00   0.00   0.00   2.30   0.00    0.00   0.00   0.00   0.00   0.00   1.73   0.00   0.00   0.00    0.00     -0.00        2.30   -1.73   -0.00    0.00    0.00
 2022 145    25  288.67    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   5.73   0.01   0.00   0.00   -0.00     -0.00        0.00   -5.73   -0.01    0.00    0.00
 2022 146    26  283.21    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   5.44   0.02   0.00   0.00    0.00     -0.00        0.00   -5.44   -0.02    0.00    0.00
 2022 147    27  282.36    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.82   0.03   0.00   0.00    0.00     -0.00        0.00   -0.82   -0.03    0.00    0.00
 2022 148    28  281.56    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.76   0.05   0.00   0.00    0.00     -0.00        0.00   -0.76   -0.05    0.00    0.00
 2022 149    29  280.76    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.70   0.10   0.00   0.00    0.00     -0.00        0.00   -0.70   -0.10    0.00    0.00
 2022 150    30  285.88    0.00    0.00   0.00   0.00   6.10   0.00    0.00   0.00   0.00   0.00   0.00   0.87   0.11   0.00   0.00    0.00     -0.00        6.10   -0.87   -0.11    0.00    0.00
 2022 151    31  282.40    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   3.36   0.12   0.00   0.00    0.00     -0.00        0.00   -3.36   -0.12    0.00    0.00
 2022 152    32  281.31    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.91   0.19   0.00   0.00    0.00     -0.00        0.00   -0.91   -0.19    0.00    0.00
 2022 153    33  280.22    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.83   0.25   0.00   0.00    0.00     -0.00        0.00   -0.83   -0.25    0.00    0.00
 2022 154    34  279.14    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.76   0.32   0.00   0.00    0.00     -0.00        0.00   -0.76   -0.32    0.00    0.00
 2022 155    35  278.02    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.69   0.43   0.00   0.00    0.00     -0.00        0.00   -0.69   -0.43    0.00    0.00
 2022 156    36  276.99    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.62   0.41   0.00   0.00    0.00     -0.00        0.00   -0.62   -0.41    0.00    0.00
 2022 157    37  276.71    0.00    0.00   0.00   0.00   1.00   0.00    0.00   0.00   0.00   0.00   0.00   0.60   0.68   0.00   0.00    0.00      0.00        1.00   -0.60   -0.68    0.00    0.00
 2022 158    38  286.75    0.00    0.00   0.00   0.00  12.20   0.00    0.00   0.00   0.00   0.00   0.00   1.90   0.26   0.00   0.00   -0.00     -0.00       12.20   -1.90   -0.26    0.00    0.00
 2022 159    39  280.04    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   5.76   0.95   0.00   0.00   -0.00     -0.00        0.00   -5.76   -0.95    0.00    0.00
 2022 160    40  275.84    0.00    0.00   0.00   0.00   0.30   0.00    0.00   0.00   0.00   0.00   0.00   3.84   0.66   0.00   0.00   -0.00     -0.00        0.30   -3.84   -0.66    0.00    0.00
 2022 161    41  273.87    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.89   1.08   0.00   0.00    0.00     -0.00        0.00   -0.89   -1.08    0.00    0.00
 2022 162    42  271.75    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.79   1.33   0.00   0.00    0.00     -0.00        0.00   -0.79   -1.33    0.00    0.00
 2022 163    43  269.57    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.70   1.49   0.00   0.00   -0.00     -0.00        0.00   -0.70   -1.49    0.00    0.00
 2022 164    44  266.64    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.61   2.32   0.00   0.00    0.00      0.00        0.00   -0.61   -2.32    0.00    0.00
 2022 165    45  264.41    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.51   1.71   0.00   0.00    0.00      0.00        0.00   -0.51   -1.71    0.00    0.00
 2022 166    46  262.09    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.47   1.85   0.00   0.00   -0.00      0.00        0.00   -0.47   -1.85    0.00    0.00
 2022 167    47  259.77    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.43   1.89   0.00   0.00   -0.00     -0.00        0.00   -0.43   -1.89    0.00    0.00
 2022 168    48  256.86    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.39   2.52   0.00   0.00    0.00     -0.00        0.00   -0.39   -2.52    0.00    0.00
 2022 169    49  253.94    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.36   2.55   0.00   0.00   -0.00     -0.00        0.00   -0.36   -2.55    0.00    0.00
 2022 170    50  251.14    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.33   2.47   0.00   0.00    0.00     -0.00        0.00   -0.33   -2.47    0.00    0.00
 2022 171    51  248.72    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.30   2.12   0.00   0.00    0.00      0.00        0.00   -0.30   -2.12    0.00    0.00
 2022 172    52  247.13    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.28   1.31   0.00   0.00    0.00      0.00        0.00   -0.28   -1.31    0.00    0.00
 2022 173    53  245.02    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.26   1.84   0.00   0.00    0.00      0.00        0.00   -0.26   -1.84    0.00    0.00
 2022 174    54  242.13    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.24   2.65   0.00   0.00   -0.00      0.00        0.00   -0.24   -2.65    0.00    0.00
 2022 175    55  240.11    0.00    0.00   0.00   0.00   0.30   0.00    0.00   0.00   0.00   0.00   0.00   0.24   2.08   0.00   0.00   -0.00      0.00        0.30   -0.24   -2.08    0.00    0.00
 2022 176    56  238.00    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.24   1.88   0.00   0.00    0.00      0.00        0.00   -0.24   -1.88    0.00    0.00
 2022 177    57  236.16    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.22   1.62   0.00   0.00    0.00      0.00        0.00   -0.22   -1.62    0.00    0.00
 2022 178    58  233.52    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.21   2.43   0.00   0.00    0.00      0.00        0.00   -0.21   -2.43    0.00    0.00
 2022 179    59  230.98    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.19   2.35   0.00   0.00    0.00      0.00        0.00   -0.19   -2.35    0.00    0.00
 2022 180    60  228.06    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.18   2.74   0.00   0.00   -0.00      0.00        0.00   -0.18   -2.74    0.00    0.00
 2022 181    61  225.96    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.17   1.93   0.00   0.00   -0.00      0.00        0.00   -0.17   -1.93    0.00    0.00
 2022 182    62  223.84    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.16   1.97   0.00   0.00   -0.00      0.00        0.00   -0.16   -1.97    0.00    0.00
 2022 183    63  244.20    0.00    0.00   0.00   0.00  25.90   0.00    0.00   0.00   0.00   0.00   0.00   3.45   2.09   0.00   0.00   -0.00      0.00       25.90   -3.45   -2.09    0.00    0.00
 2022 184    64  245.53    0.00    0.00   0.00   0.00   8.10   0.00    0.00   0.00   0.00   0.00   0.00   4.22   2.55   0.00   0.00   -0.00     -0.00        8.10   -4.22   -2.55    0.00    0.00
 2022 185    65  237.50    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   4.96   3.07   0.00   0.00   -0.00     -0.00       -0.00   -4.96   -3.07    0.00    0.00
 2022 186    66  258.01    0.00    0.00   0.00   0.00  29.20   0.00    0.00   0.00   0.00   1.28   0.00   4.54   2.87   0.00   0.00   -0.00     -0.00       27.92   -4.54   -2.87    0.00    0.00
 2022 187    67  255.64    0.00    0.00   0.00   0.00   1.30   0.00    0.00   0.00   0.00   0.00   0.00   2.23   1.44   0.00   0.00   -0.00     -0.00        1.30   -2.23   -1.44    0.00    0.00
 2022 188    68  261.47    0.00    0.00   0.00   0.00  11.20   0.00    0.00   0.00   0.00   0.00   0.00   3.25   2.12   0.00   0.00    0.00     -0.00       11.20   -3.25   -2.12    0.00    0.00
 2022 189    69  254.15    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   4.39   2.94   0.00   0.00   -0.00     -0.00        0.00   -4.39   -2.94    0.00    0.00
 2022 190    70  246.13    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   4.76   3.26   0.00   0.00   -0.00     -0.00        0.00   -4.76   -3.26    0.00    0.00
 2022 191    71  239.22    0.00    0.00   0.00   0.00   1.50   0.00    0.00   0.00   0.00   0.00   0.00   4.83   3.59   0.00   0.00   -0.00     -0.00        1.50   -4.83   -3.59    0.00    0.00
 2022 192    72  235.92    0.00    0.00   0.00   0.00   0.30   0.00    0.00   0.00   0.00   0.00   0.00   0.85   2.74   0.00   0.00    0.00      0.00        0.30   -0.85   -2.74    0.00    0.00
 2022 193    73  232.52    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.76   2.64   0.00   0.00    0.00      0.00        0.00   -0.76   -2.64    0.00    0.00
 2022 194    74  229.34    0.00    0.00   0.00   0.00   0.30   0.00    0.00   0.00   0.00   0.00   0.00   0.68   2.81   0.00   0.00    0.00      0.00        0.30   -0.68   -2.81    0.00    0.00
 2022 195    75  224.87    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.61   3.86   0.00   0.00    0.00      0.00        0.00   -0.61   -3.86    0.00    0.00
 2022 196    76  221.55    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.51   2.80   0.00   0.00    0.00      0.00        0.00   -0.51   -2.80    0.00    0.00
 2022 197    77  219.02    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.46   2.07   0.00   0.00   -0.00      0.00        0.00   -0.46   -2.07    0.00    0.00
 2022 198    78  215.88    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.42   2.73   0.00   0.00    0.00      0.00        0.00   -0.42   -2.73    0.00    0.00
 2022 199    79  211.99    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.38   3.50   0.00   0.00    0.00      0.00        0.00   -0.38   -3.50    0.00    0.00
 2022 200    80  208.83    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.35   2.81   0.00   0.00    0.00      0.00        0.00   -0.35   -2.81    0.00    0.00
 2022 201    81  205.88    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.32   2.63   0.00   0.00    0.00      0.00        0.00   -0.32   -2.63    0.00    0.00
 2022 202    82  216.50    0.00    0.00   0.00   0.00  17.30   0.00    0.00   0.00   0.00   0.00   0.00   3.82   2.87   0.00   0.00   -0.00      0.00       17.30   -3.82   -2.87    0.00    0.00
 2022 203    83  209.44    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   4.28   2.78   0.00   0.00    0.00      0.00        0.00   -4.28   -2.78    0.00    0.00
 2022 204    84  203.11    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   3.82   2.51   0.00   0.00   -0.00      0.00        0.00   -3.82   -2.51    0.00    0.00
 2022 205    85  200.25    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.74   2.12   0.00   0.00    0.00      0.00        0.00   -0.74   -2.12    0.00    0.00
 2022 206    86  204.31    0.00    0.00   0.00   0.00   5.30   0.00    0.00   0.00   0.00   0.00   0.00   0.81   0.43   0.00   0.00    0.00      0.00        5.30   -0.81   -0.43    0.00    0.00
 2022 207    87  200.47    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   2.60   1.23   0.00   0.00    0.00      0.00        0.00   -2.60   -1.23    0.00    0.00
 2022 208    88  220.70    0.00    0.00   0.00   0.00  24.40   0.00    0.00   0.00   0.00   0.09   0.00   2.80   1.27   0.00   0.00    0.00      0.00       24.31   -2.80   -1.27    0.00    0.00
 2022 209    89  216.47    0.00    0.00   0.00   0.00   0.30   0.00    0.00   0.00   0.00   0.00   0.00   3.17   1.37   0.00   0.00    0.00      0.00        0.30   -3.17   -1.37    0.00    0.00
 2022 210    90  212.64    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   2.71   1.12   0.00   0.00    0.00      0.00        0.00   -2.71   -1.12    0.00    0.00
 2022 211    91  206.49    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   4.21   1.94   0.00   0.00    0.00      0.00        0.00   -4.21   -1.94    0.00    0.00
 2022 212    92  204.09    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.80   1.60   0.00   0.00    0.00      0.00        0.00   -0.80   -1.60    0.00    0.00
 2022 213    93  201.33    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.71   2.05   0.00   0.00   -0.00      0.00        0.00   -0.71   -2.05    0.00    0.00
 2022 214    94  200.07    0.00    0.00   0.00   0.00   1.50   0.00    0.00   0.00   0.00   0.00   0.00   0.68   2.07   0.00   0.00    0.00      0.00        1.50   -0.68   -2.07    0.00    0.00
 2022 215    95  197.71    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.66   1.71   0.00   0.00    0.00      0.00        0.00   -0.66   -1.71    0.00    0.00
 2022 216    96  195.49    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.57   1.65   0.00   0.00    0.00      0.00        0.00   -0.57   -1.65    0.00    0.00
 2022 217    97  193.13    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.49   1.87   0.00   0.00   -0.00      0.00        0.00   -0.49   -1.87    0.00    0.00
 2022 218    98  191.39    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.44   1.30   0.00   0.00    0.00      0.00        0.00   -0.44   -1.30    0.00    0.00
 2022 219    99  191.40    0.00    0.00   0.00   0.00   0.80   0.00    0.00   0.00   0.00   0.00   0.00   0.43   0.36   0.00   0.00    0.00      0.00        0.80   -0.43   -0.36    0.00    0.00
 2022 220   100  189.62    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.44   1.34   0.00   0.00    0.00      0.00        0.00   -0.44   -1.34    0.00    0.00
 2022 221   101  187.82    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.39   1.41   0.00   0.00   -0.00      0.00        0.00   -0.39   -1.41    0.00    0.00
