*GHG emissions output file

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  MAR 13, 2025 05:16:48

*RUN   1        : silt_loam_13in_irr        MZCER048 UNLI2201    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : UNLI2201 MZ IRRIGATED MAIZE PRODUCTION
 DATA PATH      :
 TREATMENT  1   : silt_loam_13in_irr        MZCER048
  
!               |------ Daily (g/ha) -----|--- Cumulative (kg/ha) ---|---- Cum CO2-equiv kg[CO2eq]/ha ---|
!                    CO2      N2O      CH4      CO2      N2O      CH4      CO2      N2O      CH4    Total
!                g[C]/ha  g[N]/ha  g[C]/ha kg[C]/ha kg[N]/ha kg[C]/ha    CO2eq    CO2eq    CO2eq    CO2eq
@YEAR DOY   DAS   CO2GED   N2OGED   CH4GED    CO2EC    N2OEC    CH4EC    CCEQC    NCEQC    MCEQC    TCEQC
 2022 195    75     6289     0.59     0.00      305     0.02     0.00     1118        8        0     1126
 2022 196    76     6114     0.59     0.00      311     0.02     0.00     1141        8        0     1148
 2022 197    77     5667     0.58     0.00      316     0.02     0.00     1161        8        0     1169
 2022 198    78     5794     0.57     0.00      322     0.02     0.00     1183        8        0     1191
 2022 199    79     5771     0.57     0.00      328     0.02     0.00     1204        9        0     1212
 2022 200    80     5580     0.56     0.00      334     0.02     0.00     1224        9        0     1233
 2022 201    81     5089     0.56     0.00      339     0.02     0.00     1243        9        0     1252
 2022 202    82     4801     0.55     0.00      343     0.02     0.00     1261        9        0     1270
 2022 203    83     5415     0.16     0.00      349     0.02     0.00     1280       10        0     1290
 2022 204    84     5585     0.49     0.00      354     0.02     0.00     1301       10        0     1311
 2022 205    85     5337     0.61     0.00      360     0.02     0.00     1320       10        0     1331
 2022 206    86     5002     0.60     0.00      365     0.02     0.00     1339       10        0     1349
 2022 207    87     5019     0.49     0.00      370     0.02     0.00     1357       11        0     1368
 2022 208    88     4722     0.58     0.00      375     0.02     0.00     1375       11        0     1385
 2022 209    89     5145     0.10     0.00      380     0.02     0.00     1393       11        0     1404
 2022 210    90     4869     0.32     0.00      385     0.02     0.00     1411       11        0     1422
 2022 211    91     4886     0.56     0.00      389     0.02     0.00     1429       11        0     1441
 2022 212    92     4856     0.65     0.00      394     0.02     0.00     1447       12        0     1459
