*GHG emissions output file

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  NOV 03, 2024 05:23:59

*RUN   1        : silt_loam_13in_irr        MZCER048 UNLI2201    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : UNLI2201 MZ IRRIGATED MAIZE PRODUCTION
 DATA PATH      :
 TREATMENT  1   : silt_loam_13in_irr        MZCER048
  
!               |------ Daily (g/ha) -----|--- Cumulative (kg/ha) ---|---- Cum CO2-equiv kg[CO2eq]/ha ---|
!                    CO2      N2O      CH4      CO2      N2O      CH4      CO2      N2O      CH4    Total
!                g[C]/ha  g[N]/ha  g[C]/ha kg[C]/ha kg[N]/ha kg[C]/ha    CO2eq    CO2eq    CO2eq    CO2eq
@YEAR DOY   DAS   CO2GED   N2OGED   CH4GED    CO2EC    N2OEC    CH4EC    CCEQC    NCEQC    MCEQC    TCEQC
 2022 195    75     6669     0.64     0.00      313     0.02     0.00     1150        8        0     1158
 2022 196    76     6531     0.63     0.00      320     0.02     0.00     1174        8        0     1182
 2022 197    77     6084     0.63     0.00      326     0.02     0.00     1196        9        0     1204
 2022 198    78     6247     0.62     0.00      332     0.02     0.00     1219        9        0     1228
 2022 199    79     6258     0.61     0.00      338     0.02     0.00     1242        9        0     1251
 2022 200    80     6103     0.61     0.00      344     0.02     0.00     1264        9        0     1274
 2022 201    81     5614     0.60     0.00      350     0.02     0.00     1285       10        0     1294
 2022 202    82     5333     0.60     0.00      355     0.02     0.00     1304       10        0     1314
 2022 203    83     5886     0.16     0.00      361     0.02     0.00     1326       10        0     1336
 2022 204    84     6026     0.50     0.00      367     0.02     0.00     1348       10        0     1358
 2022 205    85     5818     0.67     0.00      373     0.02     0.00     1369       11        0     1380
 2022 206    86     5540     0.65     0.00      379     0.02     0.00     1390       11        0     1401
 2022 207    87     5454     0.45     0.00      384     0.02     0.00     1410       11        0     1421
 2022 208    88     5183     0.65     0.00      389     0.02     0.00     1429       11        0     1440
 2022 209    89     5456     0.10     0.00      395     0.02     0.00     1449       11        0     1460
 2022 210    90     5142     0.32     0.00      400     0.02     0.00     1468       12        0     1479
 2022 211    91     5192     0.58     0.00      405     0.03     0.00     1487       12        0     1499
 2022 212    92     5225     0.73     0.00      410     0.03     0.00     1506       12        0     1518
 2022 213    93     5310     0.68     0.00      416     0.03     0.00     1525       13        0     1538
 2022 214    94     5460     0.65     0.00      421     0.03     0.00     1545       13        0     1558
 2022 215    95     5905     0.62     0.00      427     0.03     0.00     1567       13        0     1580
 2022 216    96     5971     0.61     0.00      433     0.03     0.00     1589       13        0     1602
 2022 217    97     5961     0.60     0.00      439     0.03     0.00     1611       14        0     1625
 2022 218    98     5969     0.59     0.00      445     0.03     0.00     1633       14        0     1647
 2022 219    99     5821     0.59     0.00      451     0.03     0.00     1654       14        0     1668
 2022 220   100     5313     0.57     0.00      456     0.03     0.00     1674       15        0     1688
 2022 221   101     4904     0.56     0.00      461     0.03     0.00     1692       15        0     1706
 2022 222   102     4783     0.56     0.00      466     0.03     0.00     1709       15        0     1724
 2022 223   103     4490     0.55     0.00      470     0.03     0.00     1726       15        0     1741
