*SOIL INORGANIC N BALANCE

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  APR 04, 2025 15:50:50

*RUN   1        : farm_23                   MZCER048 UNLI2309    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : UNLI2309 MZ PIO1366
 DATA PATH      :
 TREATMENT  1   : farm_23                   MZCER048
  
!               |------------------- STATE VARIABLES -------------------|---- ADDED ---|----------------------------- REMOVED TODAY --------------------------|    DAILY     CUMUL
@YEAR DOY  DAS     NO3     NH4   TUREA   TNGAS  FLOODN  ALGFIX  UNFERT   AFERT  AMINER  RIMMOB    RLCH    RLTD    RNUP    RNRO    RAML   N2OED    N2ED    NOED      DBAL      CBAL
 2023 137   28  18.643   1.723   0.000   0.050   0.000   0.000   0.000     0.0  0.2092  0.0000  0.0321  0.0000  0.0000  0.0000  0.0000  0.0001  0.0004  0.0001    0.0000   -0.0000
 2023 138   29  18.574   1.700   0.000   0.052   0.000   0.000   0.000     0.0  0.2171  0.0000  0.3060  0.0000  0.0000  0.0000  0.0000  0.0001  0.0005  0.0001    0.0000   -0.0000
 2023 139   30  18.747   1.677   0.000   0.053   0.000   0.000   0.000     0.0  0.2138  0.0000  0.0629  0.0000  0.0000  0.0000  0.0000  0.0001  0.0006  0.0001    0.0000    0.0000
 2023 140   31  18.977   1.653   0.000   0.053   0.000   0.000   0.000     0.0  0.2070  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0001  0.0007  0.0002   -0.0000   -0.0000
 2023 141   32  19.211   1.639   0.000   0.053   0.000   0.000   0.000     0.0  0.2220  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0001  0.0008  0.0002    0.0000    0.0000
 2023 142   33  19.457   1.632   0.000   0.054   0.000   0.000   0.000     0.0  0.2409  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0001  0.0008  0.0002    0.0000    0.0000
 2023 143   34  19.715   1.634   0.000   0.054   0.000   0.000   0.000     0.0  0.2603  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0001  0.0009  0.0002   -0.0000    0.0000
 2023 144   35  19.984   1.638   0.000   0.054   0.000   0.000   0.000     0.0  0.2744  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0001  0.0009  0.0002    0.0000    0.0000
 2023 145   36  20.249   1.655   0.000   0.054   0.000   0.000   0.000     0.0  0.3183  0.0000  0.0000  0.0000  0.0336  0.0000  0.0000  0.0001  0.0010  0.0002   -0.0000    0.0000
 2023 146   37  20.471   1.675   0.000   0.055   0.000   0.000   0.000     0.0  0.3537  0.0000  0.0304  0.0000  0.0797  0.0000  0.0000  0.0001  0.0010  0.0002   -0.0000   -0.0000
 2023 147   38  20.533   1.746   0.000   0.057   0.000   0.000   0.000     0.0  0.3561  0.0000  0.0373  0.0000  0.1837  0.0000  0.0000  0.0000  0.0002  0.0000    0.0000    0.0000
 2023 148   39  20.416   1.795   0.000   0.060   0.000   0.000   0.000     0.0  0.3557  0.0000  0.0631  0.0000  0.3569  0.0000  0.0000  0.0001  0.0005  0.0001    0.0000    0.0000
 2023 149   40  20.182   1.878   0.000   0.068   0.000   0.000   0.000     0.0  0.3550  0.0000  0.1115  0.0000  0.3859  0.0000  0.0000  0.0000  0.0002  0.0001   -0.0000    0.0000
 2023 150   41  18.836   1.933   0.000   0.077   0.000   0.000   0.000     0.0  0.3654  0.0000  1.3120  0.0000  0.3358  0.0000  0.0000  0.0001  0.0004  0.0001    0.0000    0.0000
 2023 151   42  18.340   1.938   0.000   0.081   0.000   0.000   0.000     0.0  0.3744  0.0000  0.5245  0.0000  0.3354  0.0000  0.0000  0.0001  0.0008  0.0002   -0.0000    0.0000
 2023 152   43  18.259   1.925   0.000   0.082   0.000   0.000   0.000     0.0  0.3912  0.0000  0.1405  0.0000  0.3416  0.0000  0.0000  0.0002  0.0011  0.0003   -0.0000    0.0000
 2023 153   44  18.208   1.907   0.000   0.082   0.000   0.000   0.000     0.0  0.3958  0.0000  0.0000  0.0000  0.4621  0.0000  0.0000  0.0002  0.0011  0.0003   -0.0000   -0.0000
