*SOIL INORGANIC N BALANCE

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  SEP 04, 2025 19:39:05

*RUN   1        : farm_23                   MZCER048 UNLI2309    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : UNLI2309 MZ PIO1366
 DATA PATH      :
 TREATMENT  1   : farm_23                   MZCER048
  
!               |------------------- STATE VARIABLES -------------------|---- ADDED ---|----------------------------- REMOVED TODAY --------------------------|    DAILY     CUMUL
@YEAR DOY  DAS     NO3     NH4   TUREA   TNGAS  FLOODN  ALGFIX  UNFERT   AFERT  AMINER  RIMMOB    RLCH    RLTD    RNUP    RNRO    RAML   N2OED    N2ED    NOED      DBAL      CBAL
 2020 137   28  19.453   1.017   0.000   0.019   0.000   0.000   0.000     0.0  0.0861  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000    0.0000    0.0000
 2020 138   29  19.555   1.066   0.000   0.022   0.000   0.000   0.000     0.0  0.1540  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000   -0.0000   -0.0000
 2020 139   30  19.687   1.124   0.000   0.022   0.000   0.000   0.000     0.0  0.1904  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0001  0.0000  0.0001    0.0000   -0.0000
 2020 140   31  19.834   1.175   0.000   0.023   0.000   0.000   0.000     0.0  0.1996  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0001  0.0000  0.0002    0.0000   -0.0000
 2020 141   32  19.994   1.221   0.000   0.023   0.000   0.000   0.000     0.0  0.2072  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0001  0.0000  0.0003   -0.0000   -0.0000
 2020 142   33  20.171   1.273   0.000   0.024   0.000   0.000   0.000     0.0  0.2296  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0001  0.0000  0.0003   -0.0000   -0.0000
 2020 143   34  20.359   1.316   0.000   0.024   0.000   0.000   0.000     0.0  0.2313  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0001  0.0001  0.0003    0.0000   -0.0000
 2020 144   35  20.571   1.366   0.000   0.025   0.000   0.000   0.000     0.0  0.2634  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0001  0.0001  0.0003    0.0000    0.0000
 2020 145   36  20.806   1.422   0.000   0.026   0.000   0.000   0.000     0.0  0.2915  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0001  0.0001  0.0003   -0.0000   -0.0000
 2020 146   37  21.052   1.469   0.000   0.026   0.000   0.000   0.000     0.0  0.2943  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0001  0.0001  0.0003   -0.0000   -0.0000
 2020 147   38  21.264   1.515   0.000   0.028   0.000   0.000   0.000     0.0  0.2606  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0001    0.0000   -0.0000
 2020 148   39  21.490   1.544   0.000   0.029   0.000   0.000   0.000     0.0  0.2554  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0001  0.0001  0.0002    0.0000   -0.0000
 2020 149   40  21.724   1.564   0.000   0.029   0.000   0.000   0.000     0.0  0.2555  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0001  0.0001  0.0003    0.0000   -0.0000
 2020 150   41  21.967   1.579   0.000   0.030   0.000   0.000   0.000     0.0  0.2592  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0002  0.0001  0.0004   -0.0000   -0.0000
 2020 151   42  22.219   1.596   0.000   0.030   0.000   0.000   0.000     0.0  0.2706  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0002  0.0002  0.0004   -0.0000   -0.0000
 2020 152   43  22.434   1.624   0.000   0.031   0.000   0.000   0.000     0.0  0.3160  0.0000  0.0000  0.0000  0.0719  0.0000  0.0000  0.0002  0.0002  0.0004   -0.0000   -0.0000
 2020 153   44  22.743   1.655   0.000   0.032   0.000   0.000   0.000     0.0  0.3610  0.0000  0.0000  0.0000  0.0190  0.0000  0.0000  0.0002  0.0002  0.0004    0.0000    0.0000
 2020 154   45  22.840   1.689   0.000   0.033   0.000   0.000   0.000     0.0  0.4183  0.0000  0.0000  0.0000  0.2856  0.0000  0.0000  0.0002  0.0002  0.0004   -0.0000   -0.0000
 2020 155   46  22.637   1.715   0.000   0.034   0.000   0.000   0.000     0.0  0.4618  0.0000  0.0000  0.0000  0.6372  0.0000  0.0000  0.0002  0.0002  0.0004    0.0000   -0.0000
 2020 156   47  22.318   1.734   0.000   0.035   0.000   0.000   0.000     0.0  0.4841  0.0000  0.0000  0.0000  0.7822  0.0000  0.0000  0.0002  0.0002  0.0005   -0.0000   -0.0000
 2020 157   48  22.031   1.747   0.000   0.036   0.000   0.000   0.000     0.0  0.5057  0.0000  0.0000  0.0000  0.7774  0.0000  0.0000  0.0002  0.0002  0.0005   -0.0000   -0.0000
 2020 158   49  21.613   1.756   0.000   0.037   0.000   0.000   0.000     0.0  0.5172  0.0000  0.0000  0.0000  0.9251  0.0000  0.0000  0.0002  0.0002  0.0005    0.0000   -0.0000
 2020 159   50  21.191   1.762   0.000   0.038   0.000   0.000   0.000     0.0  0.5255  0.0000  0.0000  0.0000  0.9391  0.0000  0.0000  0.0002  0.0002  0.0005   -0.0000   -0.0000
 2020 160   51  20.341   1.762   0.000   0.039   0.000   0.000   0.000     0.0  0.5507  0.0000  0.0000  0.0000  1.3983  0.0000  0.0000  0.0002  0.0002  0.0005    0.0000   -0.0000
 2020 161   52  20.361   1.758   0.000   0.041   0.000   0.000   0.000     0.0  0.5683  0.0000  0.0000  0.0000  0.5500  0.0000  0.0000  0.0002  0.0002  0.0005   -0.0000   -0.0000
 2020 162   53  19.352   1.767   0.000   0.042   0.000   0.000   0.000     0.0  0.5200  0.0000  0.0000  0.0000  1.5185  0.0000  0.0000  0.0002  0.0002  0.0005   -0.0000   -0.0000
 2020 163   54  18.847   1.777   0.000   0.042   0.000   0.000   0.000     0.0  0.4813  0.0000  0.0000  0.0000  0.9738  0.0000  0.0000  0.0002  0.0003  0.0005    0.0000   -0.0000
 2020 164   55  18.657   1.786   0.000   0.043   0.000   0.000   0.000     0.0  0.4265  0.0000  0.0000  0.0000  0.6063  0.0000  0.0000  0.0003  0.0003  0.0006   -0.0000   -0.0000
 2020 165   56  18.774   1.789   0.000   0.043   0.000   0.000   0.000     0.0  0.3861  0.0000  0.0000  0.0000  0.2649  0.0000  0.0000  0.0003  0.0003  0.0006    0.0000   -0.0000
 2020 166   57  18.904   1.789   0.000   0.044   0.000   0.000   0.000     0.0  0.3745  0.0000  0.0000  0.0000  0.2415  0.0000  0.0000  0.0003  0.0003  0.0006    0.0000   -0.0000
 2020 167   58  17.860   1.795   0.000   0.044   0.000   0.000   0.000     0.0  0.4544  0.0000  0.0000  0.0000  1.4916  0.0000  0.0000  0.0003  0.0003  0.0006   -0.0000   -0.0000
 2020 168   59  16.558   1.791   0.000   0.045   0.000   0.000   0.000     0.0  0.5186  0.0000  0.0000  0.0000  1.8226  0.0000  0.0000  0.0003  0.0003  0.0006   -0.0000   -0.0000
 2020 169   60  15.733   1.775   0.000   0.046   0.000   0.000   0.000     0.0  0.5672  0.0000  0.0000  0.0000  1.4068  0.0000  0.0000  0.0003  0.0003  0.0006    0.0000   -0.0000
 2020 170   61  15.672   1.749   0.000   0.046   0.000   0.000   0.000     0.0  0.6003  0.0000  0.0000  0.0000  0.6848  0.0000  0.0000  0.0003  0.0003  0.0006   -0.0000   -0.0000
 2020 171   62  15.767   1.736   0.000   0.047   0.000   0.000   0.000     0.0  0.5856  0.0000  0.0000  0.0000  0.5024  0.0000  0.0000  0.0003  0.0003  0.0006   -0.0000   -0.0000
 2020 172   63  15.811   1.740   0.000   0.047   0.000   0.000   0.000     0.0  0.5275  0.0000  0.0000  0.0000  0.4766  0.0000  0.0000  0.0003  0.0003  0.0007    0.0000   -0.0000
 2020 173   64  15.877   1.746   0.000   0.048   0.000   0.000   0.000     0.0  0.4838  0.0000  0.0000  0.0000  0.4112  0.0000  0.0000  0.0003  0.0003  0.0007    0.0000   -0.0000
 2020 174   65  15.960   1.749   0.000   0.048   0.000   0.000   0.000     0.0  0.4609  0.0000  0.0000  0.0000  0.3735  0.0000  0.0000  0.0003  0.0003  0.0007    0.0000   -0.0000
 2020 175   66  16.017   1.748   0.000   0.048   0.000   0.000   0.000     0.0  0.4149  0.0000  0.0000  0.0000  0.3574  0.0000  0.0000  0.0003  0.0003  0.0007    0.0000   -0.0000
 2020 176   67  16.101   1.742   0.000   0.048   0.000   0.000   0.000     0.0  0.4033  0.0000  0.0000  0.0000  0.3242  0.0000  0.0000  0.0003  0.0003  0.0007    0.0000   -0.0000
 2020 177   68  16.212   1.733   0.000   0.048   0.000   0.000   0.000     0.0  0.4278  0.0000  0.0000  0.0000  0.3242  0.0000  0.0000  0.0003  0.0003  0.0007    0.0000    0.0000
 2020 178   69  16.326   1.719   0.000   0.048   0.000   0.000   0.000     0.0  0.4557  0.0000  0.0000  0.0000  0.3538  0.0000  0.0000  0.0003  0.0003  0.0007    0.0000    0.0000
 2020 179   70  16.412   1.702   0.000   0.048   0.000   0.000   0.000     0.0  0.4550  0.0000  0.0000  0.0000  0.3849  0.0000  0.0000  0.0003  0.0003  0.0007   -0.0000   -0.0000
 2020 180   71  16.514   1.679   0.000   0.049   0.000   0.000   0.000     0.0  0.4757  0.0000  0.0000  0.0000  0.3951  0.0000  0.0000  0.0003  0.0003  0.0007    0.0000    0.0000
 2020 181   72  16.638   1.646   0.000   0.049   0.000   0.000   0.000     0.0  0.5090  0.0000  0.0000  0.0000  0.4166  0.0000  0.0000  0.0004  0.0003  0.0007   -0.0000   -0.0000
 2020 182   73  16.752   1.607   0.000   0.049   0.000   0.000   0.000     0.0  0.5283  0.0000  0.0000  0.0000  0.4516  0.0000  0.0000  0.0004  0.0003  0.0008    0.0000   -0.0000
 2020 183   74  16.784   1.588   0.000   0.050   0.000   0.000   0.000     0.0  0.4858  0.0000  0.0000  0.0000  0.4716  0.0000  0.0000  0.0004  0.0003  0.0008   -0.0000   -0.0000
 2020 184   75  16.829   1.572   0.000   0.050   0.000   0.000   0.000     0.0  0.4589  0.0000  0.0000  0.0000  0.4266  0.0000  0.0000  0.0004  0.0003  0.0008    0.0000    0.0000
 2020 185   76  16.886   1.557   0.000   0.050   0.000   0.000   0.000     0.0  0.4518  0.0000  0.0000  0.0000  0.4099  0.0000  0.0000  0.0004  0.0003  0.0008   -0.0000   -0.0000
 2020 186   77  16.934   1.540   0.000   0.050   0.000   0.000   0.000     0.0  0.4386  0.0000  0.0000  0.0000  0.4053  0.0000  0.0000  0.0004  0.0003  0.0008   -0.0000   -0.0000
 2020 187   78  16.961   1.524   0.000   0.050   0.000   0.000   0.000     0.0  0.4117  0.0000  0.0000  0.0000  0.3988  0.0000  0.0000  0.0004  0.0003  0.0008    0.0000   -0.0000
 2020 188   79  17.038   1.501   0.000   0.050   0.000   0.000   0.000     0.0  0.4340  0.0000  0.0000  0.0000  0.3786  0.0000  0.0000  0.0004  0.0003  0.0008    0.0000   -0.0000
 2020 189   80  17.120   1.470   0.000   0.050   0.000   0.000   0.000     0.0  0.4562  0.0000  0.0000  0.0000  0.4041  0.0000  0.0000  0.0004  0.0003  0.0009   -0.0000   -0.0000
 2020 190   81  17.184   1.438   0.000   0.050   0.000   0.000   0.000     0.0  0.4631  0.0000  0.0000  0.0000  0.4295  0.0000  0.0000  0.0004  0.0003  0.0009   -0.0000   -0.0000
 2020 191   82  17.244   1.408   0.000   0.050   0.000   0.000   0.000     0.0  0.4672  0.0000  0.0000  0.0000  0.4362  0.0000  0.0000  0.0004  0.0003  0.0009   -0.0000   -0.0000
 2020 192   83  17.240   1.426   0.000   0.051   0.000   0.000   0.000     0.0  0.4865  0.0000  0.0000  0.0000  0.4699  0.0000  0.0000  0.0001  0.0001  0.0003   -0.0000   -0.0000
 2020 193   84  17.286   1.437   0.000   0.051   0.000   0.000   0.000     0.0  0.4935  0.0000  0.0000  0.0000  0.4349  0.0000  0.0000  0.0004  0.0002  0.0008   -0.0000   -0.0000
 2020 194   85  17.318   1.444   0.000   0.052   0.000   0.000   0.000     0.0  0.4765  0.0000  0.0000  0.0000  0.4358  0.0000  0.0000  0.0004  0.0002  0.0008    0.0000   -0.0000
 2020 195   86  17.306   1.451   0.000   0.052   0.000   0.000   0.000     0.0  0.4528  0.0000  0.0000  0.0000  0.4569  0.0000  0.0000  0.0004  0.0002  0.0009   -0.0000   -0.0000
 2020 196   87  17.204   1.520   0.000   0.052   0.000   0.000   0.000     0.0  0.4772  0.0000  0.0000  0.0000  0.5087  0.0000  0.0000  0.0001  0.0001  0.0002    0.0000   -0.0000
 2020 197   88  17.246   1.567   0.000   0.053   0.000   0.000   0.000     0.0  0.4887  0.0000  0.0000  0.0000  0.3987  0.0000  0.0000  0.0003  0.0001  0.0006   -0.0000   -0.0000
 2020 198   89  17.282   1.591   0.000   0.053   0.000   0.000   0.000     0.0  0.4782  0.0000  0.0000  0.0000  0.4175  0.0000  0.0000  0.0004  0.0002  0.0008    0.0000   -0.0000
 2020 199   90  17.335   1.593   0.000   0.053   0.000   0.000   0.000     0.0  0.4911  0.0000  0.0000  0.0000  0.4341  0.0000  0.0000  0.0004  0.0002  0.0009   -0.0000   -0.0000
 2020 200   91  17.369   1.587   0.000   0.053   0.000   0.000   0.000     0.0  0.5167  0.0000  0.0000  0.0000  0.4864  0.0000  0.0000  0.0004  0.0002  0.0009   -0.0000   -0.0000
 2020 201   92  17.361   1.587   0.000   0.053   0.000   0.000   0.000     0.0  0.5056  0.0000  0.0000  0.0000  0.5124  0.0000  0.0000  0.0004  0.0002  0.0009   -0.0000   -0.0000
 2020 202   93  17.390   1.582   0.000   0.053   0.000   0.000   0.000     0.0  0.5227  0.0000  0.0000  0.0000  0.4970  0.0000  0.0000  0.0004  0.0002  0.0009    0.0000   -0.0000
 2020 203   94  17.409   1.576   0.000   0.053   0.000   0.000   0.000     0.0  0.5279  0.0000  0.0000  0.0000  0.5130  0.0000  0.0000  0.0004  0.0002  0.0009    0.0000   -0.0000
 2020 204   95  17.396   1.579   0.000   0.054   0.000   0.000   0.000     0.0  0.5056  0.0000  0.0000  0.0000  0.5144  0.0000  0.0000  0.0004  0.0002  0.0009   -0.0000   -0.0000
 2020 205   96  17.391   1.583   0.000   0.054   0.000   0.000   0.000     0.0  0.4897  0.0000  0.0000  0.0000  0.4886  0.0000  0.0000  0.0004  0.0002  0.0009    0.0000   -0.0000
 2020 206   97  17.420   1.582   0.000   0.054   0.000   0.000   0.000     0.0  0.5015  0.0000  0.0000  0.0000  0.4720  0.0000  0.0000  0.0005  0.0002  0.0010    0.0000   -0.0000
 2020 207   98  17.460   1.581   0.000   0.054   0.000   0.000   0.000     0.0  0.5231  0.0000  0.0000  0.0000  0.4831  0.0000  0.0000  0.0004  0.0001  0.0007   -0.0000   -0.0000
 2020 208   99  17.438   1.613   0.000   0.055   0.000   0.000   0.000     0.0  0.5397  0.0000  0.0000  0.0000  0.5274  0.0000  0.0000  0.0001  0.0000  0.0003   -0.0000   -0.0000
 2020 209  100  17.525   1.620   0.000   0.056   0.000   0.000   0.000     0.0  0.5575  0.0000  0.0000  0.0000  0.4614  0.0000  0.0000  0.0003  0.0001  0.0006    0.0000   -0.0000
 2020 210  101  17.584   1.618   0.000   0.056   0.000   0.000   0.000     0.0  0.5536  0.0000  0.0000  0.0000  0.4951  0.0000  0.0000  0.0005  0.0001  0.0010   -0.0000   -0.0000
 2020 211  102  17.617   1.609   0.000   0.056   0.000   0.000   0.000     0.0  0.5431  0.0000  0.0000  0.0000  0.5177  0.0000  0.0000  0.0005  0.0001  0.0011    0.0000   -0.0000
 2020 212  103  17.482   1.708   0.000   0.057   0.000   0.000   0.000     0.0  0.5333  0.0000  0.0000  0.0000  0.5673  0.0000  0.0000  0.0001  0.0000  0.0002    0.0000   -0.0000
 2020 213  104  17.521   1.780   0.000   0.058   0.000   0.000   0.000     0.0  0.5074  0.0000  0.0000  0.0000  0.3959  0.0000  0.0000  0.0002  0.0000  0.0004    0.0000   -0.0000
