*SOIL INORGANIC N BALANCE

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  JUN 25, 2025 18:37:00

*RUN   1        : farm_23                   MZCER048 UNLI2309    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : UNLI2309 MZ PIO1366
 DATA PATH      :
 TREATMENT  1   : farm_23                   MZCER048
  
!               |------------------- STATE VARIABLES -------------------|---- ADDED ---|----------------------------- REMOVED TODAY --------------------------|    DAILY     CUMUL
@YEAR DOY  DAS     NO3     NH4   TUREA   TNGAS  FLOODN  ALGFIX  UNFERT   AFERT  AMINER  RIMMOB    RLCH    RLTD    RNUP    RNRO    RAML   N2OED    N2ED    NOED      DBAL      CBAL
 2020 109    0  14.309   2.385   0.000   0.000   0.000   0.000   0.000     0.0  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000    0.0000    0.0000
 2020 110    1  14.549   2.201   0.000   0.003   0.000   0.000   0.000     0.0  0.0595  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000    0.0000    0.0000
 2020 111    2  14.771   2.035   0.000   0.004   0.000   0.000   0.000     0.0  0.0574  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000   -0.0000   -0.0000
 2020 112    3  14.979   1.892   0.000   0.006   0.000   0.000   0.000     0.0  0.0662  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000   -0.0000   -0.0000
 2020 113    4  15.177   1.769   0.000   0.007   0.000   0.000   0.000     0.0  0.0768  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000    0.0000   -0.0000
 2020 114    5  15.375   1.677   0.000   0.008   0.000   0.000   0.000     0.0  0.1070  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000    0.0000    0.0000
 2020 115    6  15.573   1.609   0.000   0.009   0.000   0.000   0.000     0.0  0.1303  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000   -0.0000    0.0000
 2020 116    7  15.767   1.558   0.000   0.010   0.000   0.000   0.000     0.0  0.1437  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000   -0.0000   -0.0000
 2020 117    8  15.956   1.511   0.000   0.010   0.000   0.000   0.000     0.0  0.1431  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000    0.0000   -0.0000
 2020 118    9  16.147   1.480   0.000   0.011   0.000   0.000   0.000     0.0  0.1604  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0001   -0.0000   -0.0000
