*SOIL INORGANIC N BALANCE

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  FEB 28, 2025 20:34:02

*RUN   1        : silt_loam_13in_irr        MZCER048 UNLI2201    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : UNLI2201 MZ IRRIGATED MAIZE PRODUCTION
 DATA PATH      :
 TREATMENT  1   : silt_loam_13in_irr        MZCER048
  
!               |------------------- STATE VARIABLES -------------------|---- ADDED ---|----------------------------- REMOVED TODAY --------------------------|    DAILY     CUMUL
@YEAR DOY  DAS     NO3     NH4   TUREA   TNGAS  FLOODN  ALGFIX  UNFERT   AFERT  AMINER  RIMMOB    RLCH    RLTD    RNUP    RNRO    RAML   N2OED    N2ED    NOED      DBAL      CBAL
 2022 147   27   4.690   1.519   0.000   0.023   0.000   0.000   0.000     0.0  0.1584  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0002  0.0000  0.0008   -0.0000   -0.0000
 2022 148   28   4.913   1.537   0.000   0.024   0.000   0.000   0.000     0.0  0.2427  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0002  0.0000  0.0009    0.0000   -0.0000
 2022 149   29   5.175   1.593   0.000   0.025   0.000   0.000   0.000     0.0  0.3186  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0002  0.0000  0.0009   -0.0000   -0.0000
 2022 150   30   5.490   1.673   0.000   0.026   0.000   0.000   0.000     0.0  0.3972  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0002  0.0000  0.0009    0.0000   -0.0000
 2022 151   31   5.834   1.732   0.000   0.027   0.000   0.000   0.000     0.0  0.4057  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0001  0.0000  0.0008   -0.0000   -0.0000
 2022 152   32   6.048   1.779   0.000   0.028   0.000   0.000   0.000     0.0  0.3992  0.0000  0.0000  0.0000  0.1354  0.0000  0.0000  0.0002  0.0000  0.0011   -0.0000   -0.0000
 2022 153   33   6.121   1.806   0.000   0.029   0.000   0.000   0.000     0.0  0.3618  0.0000  0.0000  0.0000  0.2593  0.0000  0.0000  0.0002  0.0000  0.0011    0.0000   -0.0000
 2022 154   34   6.137   1.816   0.000   0.030   0.000   0.000   0.000     0.0  0.3211  0.0000  0.0000  0.0000  0.2933  0.0000  0.0000  0.0002  0.0000  0.0011   -0.0000   -0.0000
 2022 155   35   6.082   1.814   0.000   0.031   0.000   0.000   0.000     0.0  0.2886  0.0000  0.0000  0.0000  0.3434  0.0000  0.0000  0.0002  0.0000  0.0012    0.0000   -0.0000
 2022 156   36   5.953   1.828   0.000   0.032   0.000   0.000   0.000     0.0  0.3280  0.0000  0.0000  0.0000  0.4418  0.0000  0.0000  0.0002  0.0000  0.0012   -0.0000   -0.0000
 2022 157   37   5.755   1.853   0.000   0.033   0.000   0.000   0.000     0.0  0.3685  0.0000  0.0000  0.0000  0.5378  0.0000  0.0000  0.0002  0.0000  0.0012    0.0000   -0.0000
 2022 158   38   5.764   1.886   0.000   0.034   0.000   0.000   0.000     0.0  0.4183  0.0000  0.0000  0.0000  0.3738  0.0000  0.0000  0.0002  0.0000  0.0012   -0.0000   -0.0000
