*WATER BALANCE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  JAN 24, 2025 01:19:59

*RUN   1        : silt_loam_13in_irr        MZCER048 UNLI2201    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : UNLI2201 MZ IRRIGATED MAIZE PRODUCTION
 DATA PATH      :
 TREATMENT  1   : silt_loam_13in_irr        MZCER048
  
@YEAR DOY   DAS    SWTD    FWTD    SNTD   MWTD   IRRD   PRED  RESAD   LFLOD  MEVAP   DRND   ROFD   FROD   ESAD   EPAD   EFAD   TDFD    WBAL   CUMWBAL        TOTS    TOTU    TOTX    TOTT    TOTL
 2022 222   102  205.30    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.41   1.45   0.00   0.00    0.00      0.01        0.00   -0.41   -1.45    0.00    0.00
 2022 223   103  203.59    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.37   1.34   0.00   0.00    0.00      0.01        0.00   -0.37   -1.34    0.00    0.00
 2022 224   104  201.80    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.34   1.45   0.00   0.00   -0.00      0.01        0.00   -0.34   -1.45    0.00    0.00
 2022 225   105  200.29    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.31   1.19   0.00   0.00    0.00      0.01        0.00   -0.31   -1.19    0.00    0.00
 2022 226   106  198.92    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.29   1.08   0.00   0.00    0.00      0.01        0.00   -0.29   -1.08    0.00    0.00
 2022 227   107  209.11    0.00    0.00   0.00   0.00  11.70   0.00    0.00   0.00   0.00   0.00   0.00   0.70   0.81   0.00   0.00    0.00      0.01       11.70   -0.70   -0.81    0.00    0.00
 2022 228   108  207.84    0.00    0.00   0.00   0.00   0.30   0.00    0.00   0.00   0.00   0.00   0.00   1.31   0.27   0.00   0.00   -0.00      0.01        0.30   -1.31   -0.27    0.00    0.00
 2022 229   109  204.40    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   2.87   0.57   0.00   0.00   -0.00      0.01       -0.00   -2.87   -0.57    0.00    0.00
 2022 230   110  202.63    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.82   0.94   0.00   0.00    0.00      0.01        0.00   -0.82   -0.94    0.00    0.00
 2022 231   111  201.05    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.74   0.84   0.00   0.00    0.00      0.01        0.00   -0.74   -0.84    0.00    0.00
 2022 232   112  199.55    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.66   0.85   0.00   0.00   -0.00      0.01        0.00   -0.66   -0.85    0.00    0.00
 2022 233   113  198.06    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.58   0.91   0.00   0.00    0.00      0.01        0.00   -0.58   -0.91    0.00    0.00
 2022 234   114  196.67    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.51   0.88   0.00   0.00   -0.00      0.01        0.00   -0.51   -0.88    0.00    0.00
 2022 235   115  195.35    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.45   0.87   0.00   0.00    0.00      0.01        0.00   -0.45   -0.87    0.00    0.00
 2022 236   116  194.20    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.40   0.75   0.00   0.00    0.00      0.01        0.00   -0.40   -0.75    0.00    0.00
 2022 237   117  193.05    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.37   0.77   0.00   0.00    0.00      0.01        0.00   -0.37   -0.77    0.00    0.00
 2022 238   118  192.25    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.34   0.46   0.00   0.00    0.00      0.01        0.00   -0.34   -0.46    0.00    0.00
 2022 239   119  191.15    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.32   0.79   0.00   0.00    0.00      0.01        0.00   -0.32   -0.79    0.00    0.00
 2022 240   120  190.05    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.29   0.80   0.00   0.00    0.00      0.01        0.00   -0.29   -0.80    0.00    0.00
 2022 241   121  189.08    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.27   0.70   0.00   0.00    0.00      0.01        0.00   -0.27   -0.70    0.00    0.00
 2022 242   122  188.12    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.25   0.70   0.00   0.00    0.00      0.01        0.00   -0.25   -0.70    0.00    0.00
 2022 243   123  188.79    0.00    0.00   0.00   0.00   1.50   0.00    0.00   0.00   0.00   0.00   0.00   0.30   0.53   0.00   0.00    0.00      0.01        1.50   -0.30   -0.53    0.00    0.00
 2022 244   124  187.77    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.34   0.68   0.00   0.00    0.00      0.01        0.00   -0.34   -0.68    0.00    0.00
 2022 245   125  186.82    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.32   0.63   0.00   0.00    0.00      0.01        0.00   -0.32   -0.63    0.00    0.00
 2022 246   126  185.92    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.29   0.60   0.00   0.00    0.00      0.01        0.00   -0.29   -0.60    0.00    0.00
 2022 247   127  185.05    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.27   0.59   0.00   0.00    0.00      0.01        0.00   -0.27   -0.59    0.00    0.00
