*GHG emissions output file

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  JAN 24, 2025 01:19:59

*RUN   1        : silt_loam_13in_irr        MZCER048 UNLI2201    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : UNLI2201 MZ IRRIGATED MAIZE PRODUCTION
 DATA PATH      :
 TREATMENT  1   : silt_loam_13in_irr        MZCER048
  
!               |------ Daily (g/ha) -----|--- Cumulative (kg/ha) ---|---- Cum CO2-equiv kg[CO2eq]/ha ---|
!                    CO2      N2O      CH4      CO2      N2O      CH4      CO2      N2O      CH4    Total
!                g[C]/ha  g[N]/ha  g[C]/ha kg[C]/ha kg[N]/ha kg[C]/ha    CO2eq    CO2eq    CO2eq    CO2eq
@YEAR DOY   DAS   CO2GED   N2OGED   CH4GED    CO2EC    N2OEC    CH4EC    CCEQC    NCEQC    MCEQC    TCEQC
 2022 121     1     1191     0.00     0.00        1     0.00     0.00        4        0        0        4
 2022 122     2     1153     0.00     0.00        2     0.00     0.00        9        0        0        9
 2022 123     3      791     0.00     0.00        3     0.00     0.00       12        0        0       12
 2022 124     4      466     0.00     0.00        4     0.00     0.00       13        0        0       13
 2022 125     5      270     0.00     0.00        4     0.00     0.00       14        0        0       14
 2022 126     6      260     0.00     0.00        4     0.00     0.00       15        0        0       15
 2022 127     7      518     0.01     0.00        5     0.00     0.00       17        0        0       17
 2022 128     8     1350     0.00     0.00        6     0.00     0.00       22        0        0       22
 2022 129     9     2239     0.01     0.00        8     0.00     0.00       30        0        0       30
 2022 130    10     2912     0.00     0.00       11     0.00     0.00       41        0        0       41
 2022 131    11     3317     0.00     0.00       14     0.00     0.00       53        0        0       53
 2022 132    12     3842     0.00     0.00       18     0.00     0.00       67        0        0       67
 2022 133    13     4098     0.00     0.00       22     0.00     0.00       82        0        0       82
 2022 134    14     3924     0.01     0.00       26     0.00     0.00       97        0        0       97
 2022 135    15     3845     0.01     0.00       30     0.00     0.00      111        0        0      111
 2022 136    16     3858     0.01     0.00       34     0.00     0.00      125        0        0      125
 2022 137    17     3571     0.01     0.00       38     0.00     0.00      138        0        0      138
 2022 138    18     3588     0.01     0.00       41     0.00     0.00      151        0        0      151
 2022 139    19     3892     0.01     0.00       45     0.00     0.00      165        0        0      166
 2022 140    20     4198     0.01     0.00       49     0.00     0.00      181        0        0      181
 2022 141    21     3747     0.01     0.00       53     0.00     0.00      195        0        0      195
 2022 142    22     2977     0.01     0.00       56     0.00     0.00      206        0        0      206
 2022 143    23     2020     0.01     0.00       58     0.00     0.00      213        0        0      213
 2022 144    24     1344     0.01     0.00       59     0.00     0.00      218        0        0      218
 2022 145    25      669     0.01     0.00       60     0.00     0.00      220        0        0      220
 2022 146    26      929     0.02     0.00       61     0.00     0.00      224        0        0      224
 2022 147    27     1519     0.02     0.00       62     0.00     0.00      229        0        0      229
 2022 148    28     2354     0.02     0.00       65     0.00     0.00      238        0        0      238
 2022 149    29     3103     0.02     0.00       68     0.00     0.00      249        0        0      249
 2022 150    30     3876     0.02     0.00       72     0.00     0.00      264        0        0      264
 2022 151    31     3961     0.02     0.00       76     0.00     0.00      278        0        0      278
 2022 152    32     3906     0.07     0.00       80     0.00     0.00      292        0        0      293
 2022 153    33     3647     0.14     0.00       83     0.00     0.00      306        0        0      306
 2022 154    34     3271     0.20     0.00       87     0.00     0.00      318        0        0      318
 2022 155    35     2969     0.22     0.00       90     0.00     0.00      329        0        0      329
 2022 156    36     3364     0.23     0.00       93     0.00     0.00      341        1        0      342
 2022 157    37     3756     0.24     0.00       97     0.00     0.00      355        1        0      356
 2022 158    38     4223     0.25     0.00      101     0.00     0.00      370        1        0      371
 2022 159    39     4484     0.10     0.00      105     0.00     0.00      387        1        0      388
 2022 160    40     4581     0.26     0.00      110     0.00     0.00      404        1        0      405
 2022 161    41     4578     0.34     0.00      115     0.00     0.00      420        1        0      422
 2022 162    42     4609     0.34     0.00      119     0.00     0.00      437        1        0      439
 2022 163    43     4896     0.35     0.00      124     0.00     0.00      455        1        0      457
 2022 164    44     5461     0.36     0.00      130     0.00     0.00      475        2        0      477
 2022 165    45     6236     0.37     0.00      136     0.00     0.00      498        2        0      500
 2022 166    46     6340     0.39     0.00      142     0.00     0.00      522        2        0      523
 2022 167    47     6307     0.40     0.00      148     0.00     0.00      545        2        0      547
 2022 168    48     5946     0.41     0.00      154     0.00     0.00      566        2        0      569
 2022 169    49     6007     0.42     0.00      160     0.01     0.00      589        3        0      591
 2022 170    50     5871     0.43     0.00      166     0.01     0.00      610        3        0      613
 2022 171    51     6125     0.44     0.00      172     0.01     0.00      633        3        0      635
 2022 172    52     6466     0.45     0.00      179     0.01     0.00      656        3        0      659
 2022 173    53     6282     0.46     0.00      185     0.01     0.00      679        3        0      683
 2022 174    54     5681     0.47     0.00      191     0.01     0.00      700        4        0      704
 2022 175    55     5388     0.47     0.00      196     0.01     0.00      720        4        0      724
 2022 176    56     5074     0.47     0.00      201     0.01     0.00      739        4        0      743
 2022 177    57     4506     0.48     0.00      206     0.01     0.00      755        4        0      759
 2022 178    58     4322     0.48     0.00      210     0.01     0.00      771        4        0      775
 2022 179    59     4335     0.48     0.00      214     0.01     0.00      787        5        0      792
 2022 180    60     4134     0.48     0.00      219     0.01     0.00      802        5        0      807
 2022 181    61     4238     0.48     0.00      223     0.01     0.00      818        5        0      823
 2022 182    62     4533     0.48     0.00      227     0.01     0.00      834        5        0      840
 2022 183    63     4867     0.48     0.00      232     0.01     0.00      852        6        0      858
 2022 184    64     5919     0.07     0.00      238     0.01     0.00      874        6        0      879
 2022 185    65     6333     0.11     0.00      244     0.01     0.00      897        6        0      903
 2022 186    66     6433     0.42     0.00      251     0.01     0.00      921        6        0      927
 2022 187    67     6735     0.11     0.00      258     0.01     0.00      945        6        0      951
 2022 188    68     6902     0.24     0.00      265     0.01     0.00      971        6        0      977
 2022 189    69     7095     0.11     0.00      272     0.01     0.00      997        6        0     1003
 2022 190    70     7304     0.41     0.00      279     0.01     0.00     1024        6        0     1030
 2022 191    71     7294     0.75     0.00      286     0.01     0.00     1050        7        0     1057
 2022 192    72     7281     0.75     0.00      293     0.01     0.00     1077        7        0     1084
 2022 193    73     7046     0.72     0.00      301     0.02     0.00     1103        7        0     1110
 2022 194    74     6814     0.69     0.00      307     0.02     0.00     1128        8        0     1136
