*WATER BALANCE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  FEB 28, 2025 20:35:43

*RUN   1        : silt_loam_13in_irr        MZCER048 UNLI2201    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : UNLI2201 MZ IRRIGATED MAIZE PRODUCTION
 DATA PATH      :
 TREATMENT  1   : silt_loam_13in_irr        MZCER048
  
@YEAR DOY   DAS    SWTD    FWTD    SNTD   MWTD   IRRD   PRED  RESAD   LFLOD  MEVAP   DRND   ROFD   FROD   ESAD   EPAD   EFAD   TDFD    WBAL   CUMWBAL        TOTS    TOTU    TOTX    TOTT    TOTL
 2022 120     0  298.30    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00    0.00      0.00        0.00    0.00    0.00    0.00    0.00
 2022 121     1  297.37    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.93   0.00   0.00   0.00    0.00      0.00        0.00   -0.93    0.00    0.00    0.00
 2022 122     2  330.38    0.00    0.00   0.00   0.00  36.60   0.00    0.00   0.00   0.00   2.93   0.00   0.66   0.00   0.00   0.00    0.00      0.00       33.67   -0.66    0.00    0.00    0.00
 2022 123     3  314.48    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00  12.65   0.00   0.00   3.25   0.00   0.00   0.00    0.00      0.00      -12.65   -3.25    0.00    0.00    0.00
 2022 124     4  319.12    0.00    0.00   0.00   0.00   5.30   0.00    0.00   0.00   0.00   0.00   0.00   0.67   0.00   0.00   0.00    0.00      0.00        5.30   -0.67    0.00    0.00    0.00
 2022 125     5  319.61    0.00    0.00   0.00   0.00   2.80   0.00    0.00   0.00   0.00   0.00   0.00   2.31   0.00   0.00   0.00   -0.00      0.00        2.80   -2.31    0.00    0.00    0.00
 2022 126     6  305.98    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   7.77   0.00   0.00   5.86   0.00   0.00   0.00   -0.00      0.00       -7.77   -5.86    0.00    0.00    0.00
 2022 127     7  312.29    0.00    0.00   0.00   0.00  11.70   0.00    0.00   0.00   0.00   0.00   0.00   5.39   0.00   0.00   0.00    0.00      0.00       11.70   -5.39    0.00    0.00    0.00
 2022 128     8  302.23    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   4.37   0.00   0.00   5.69   0.00   0.00   0.00    0.00      0.00       -4.37   -5.69    0.00    0.00    0.00
 2022 129     9  321.40    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00   0.00   0.00   0.00   6.23   0.00   0.00   0.00   -0.00      0.00       25.40   -6.23    0.00    0.00    0.00
 2022 130    10  340.10    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00   0.00   0.00   0.00   6.70   0.00   0.00   0.00    0.00      0.00       25.40   -6.70    0.00    0.00    0.00
 2022 131    11  359.21    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00   0.00   0.00   0.00   6.29   0.00   0.00   0.00    0.00      0.00       25.40   -6.29    0.00    0.00    0.00
 2022 132    12  379.49    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00   0.00   0.00   0.00   5.12   0.00   0.00   0.00    0.00      0.00       25.40   -5.12    0.00    0.00    0.00
 2022 133    13  399.05    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00   0.00   0.00   0.00   5.85   0.00   0.00   0.00    0.00      0.00       25.40   -5.85    0.00    0.00    0.00
 2022 134    14  418.87    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00   0.00   0.00   0.00   5.58   0.00   0.00   0.00   -0.00      0.00       25.40   -5.58    0.00    0.00    0.00
 2022 135    15  438.74    0.00    0.00   0.00  25.40   1.00   0.00    0.00   0.00   0.00   0.00   0.00   6.53   0.00   0.00   0.00   -0.00      0.00       26.40   -6.53    0.00    0.00    0.00
 2022 136    16  432.14    0.00    0.00   0.00   0.00   0.30   0.00    0.00   0.00   0.00   0.00   0.00   6.89   0.00   0.00   0.00   -0.00      0.00        0.30   -6.89    0.00    0.00    0.00
 2022 137    17  372.82    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00  53.13   0.00   0.00   6.19   0.00   0.00   0.00   -0.00      0.00      -53.13   -6.19    0.00    0.00    0.00
 2022 138    18  336.64    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00  29.61   0.00   0.00   6.56   0.02   0.00   0.00   -0.00      0.00      -29.61   -6.56   -0.02    0.00    0.00
 2022 139    19  315.66    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00  15.49   0.00   0.00   5.47   0.03   0.00   0.00    0.00      0.00      -15.49   -5.47   -0.03    0.00    0.00
 2022 140    20  306.83    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   7.27   0.00   0.00   1.55   0.01   0.00   0.00    0.00      0.00       -7.27   -1.55   -0.01    0.00    0.00
 2022 141    21  300.25    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   3.97   0.00   0.00   2.59   0.02   0.00   0.00    0.00      0.00       -3.97   -2.59   -0.02    0.00    0.00
 2022 142    22  295.03    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   1.53   0.00   0.00   3.68   0.02   0.00   0.00   -0.00      0.00       -1.53   -3.68   -0.02    0.00    0.00
 2022 143    23  304.92    0.00    0.00   0.00   0.00  10.70   0.00    0.00   0.00   0.00   0.00   0.00   0.81   0.00   0.00   0.00    0.00      0.00       10.70   -0.81   -0.00    0.00    0.00
 2022 144    24  305.46    0.00    0.00   0.00   0.00   2.30   0.00    0.00   0.00   0.00   0.00   0.00   1.75   0.00   0.00   0.00    0.00      0.00        2.30   -1.75   -0.00    0.00    0.00
 2022 145    25  297.57    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   1.96   0.00   0.00   5.93   0.01   0.00   0.00    0.00      0.00       -1.96   -5.93   -0.01    0.00    0.00
 2022 146    26  291.90    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   5.65   0.02   0.00   0.00    0.00      0.00        0.00   -5.65   -0.02    0.00    0.00
 2022 147    27  291.02    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.86   0.03   0.00   0.00    0.00      0.00        0.00   -0.86   -0.03    0.00    0.00
 2022 148    28  290.18    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.79   0.05   0.00   0.00    0.00      0.00        0.00   -0.79   -0.05    0.00    0.00
 2022 149    29  289.35    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.73   0.10   0.00   0.00    0.00      0.00        0.00   -0.73   -0.10    0.00    0.00
 2022 150    30  294.44    0.00    0.00   0.00   0.00   6.10   0.00    0.00   0.00   0.00   0.00   0.00   0.90   0.11   0.00   0.00    0.00      0.00        6.10   -0.90   -0.11    0.00    0.00
 2022 151    31  290.96    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   3.36   0.12   0.00   0.00    0.00      0.00       -0.00   -3.36   -0.12    0.00    0.00
 2022 152    32  289.85    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.92   0.19   0.00   0.00    0.00      0.00        0.00   -0.92   -0.19    0.00    0.00
 2022 153    33  288.75    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.85   0.25   0.00   0.00    0.00      0.00        0.00   -0.85   -0.25    0.00    0.00
 2022 154    34  287.66    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.77   0.32   0.00   0.00   -0.00      0.00        0.00   -0.77   -0.32    0.00    0.00
 2022 155    35  286.52    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.70   0.43   0.00   0.00    0.00      0.00        0.00   -0.70   -0.43    0.00    0.00
 2022 156    36  285.47    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.64   0.41   0.00   0.00   -0.00      0.00        0.00   -0.64   -0.41    0.00    0.00
 2022 157    37  285.17    0.00    0.00   0.00   0.00   1.00   0.00    0.00   0.00   0.00   0.00   0.00   0.62   0.68   0.00   0.00    0.00      0.00        1.00   -0.62   -0.68    0.00    0.00
 2022 158    38  295.21    0.00    0.00   0.00   0.00  12.20   0.00    0.00   0.00   0.00   0.00   0.00   1.90   0.26   0.00   0.00    0.00      0.00       12.20   -1.90   -0.26    0.00    0.00
 2022 159    39  288.35    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   5.91   0.95   0.00   0.00   -0.00      0.00        0.00   -5.91   -0.95    0.00    0.00
 2022 160    40  284.15    0.00    0.00   0.00   0.00   0.30   0.00    0.00   0.00   0.00   0.00   0.00   3.85   0.65   0.00   0.00   -0.00      0.00        0.30   -3.85   -0.65    0.00    0.00
 2022 161    41  282.19    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.90   1.05   0.00   0.00   -0.00      0.00        0.00   -0.90   -1.05    0.00    0.00
 2022 162    42  280.10    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.81   1.29   0.00   0.00   -0.00      0.00        0.00   -0.81   -1.29    0.00    0.00
 2022 163    43  277.96    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.72   1.43   0.00   0.00   -0.00      0.00        0.00   -0.72   -1.43    0.00    0.00
 2022 164    44  275.11    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.63   2.22   0.00   0.00   -0.00      0.00        0.00   -0.63   -2.22    0.00    0.00
 2022 165    45  272.93    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.54   1.63   0.00   0.00    0.00      0.00        0.00   -0.54   -1.63    0.00    0.00
 2022 166    46  270.67    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.49   1.77   0.00   0.00   -0.00      0.00        0.00   -0.49   -1.77    0.00    0.00
 2022 167    47  268.41    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.45   1.81   0.00   0.00   -0.00      0.00        0.00   -0.45   -1.81    0.00    0.00
 2022 168    48  265.59    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.41   2.42   0.00   0.00   -0.00      0.00        0.00   -0.41   -2.42    0.00    0.00
 2022 169    49  262.75    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.38   2.46   0.00   0.00   -0.00      0.00        0.00   -0.38   -2.46    0.00    0.00
 2022 170    50  260.02    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.35   2.38   0.00   0.00   -0.00      0.00        0.00   -0.35   -2.38    0.00    0.00
 2022 171    51  257.65    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.32   2.05   0.00   0.00   -0.00      0.00        0.00   -0.32   -2.05    0.00    0.00
 2022 172    52  256.09    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.29   1.27   0.00   0.00   -0.00      0.00        0.00   -0.29   -1.27    0.00    0.00
 2022 173    53  254.03    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.27   1.79   0.00   0.00    0.00      0.00        0.00   -0.27   -1.79    0.00    0.00
 2022 174    54  251.20    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.25   2.58   0.00   0.00    0.00      0.00        0.00   -0.25   -2.58    0.00    0.00
 2022 175    55  249.22    0.00    0.00   0.00   0.00   0.30   0.00    0.00   0.00   0.00   0.00   0.00   0.25   2.03   0.00   0.00    0.00      0.00        0.30   -0.25   -2.03    0.00    0.00
 2022 176    56  247.15    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.24   1.83   0.00   0.00   -0.00      0.00        0.00   -0.24   -1.83    0.00    0.00
 2022 177    57  245.33    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.23   1.59   0.00   0.00    0.00      0.00        0.00   -0.23   -1.59    0.00    0.00
 2022 178    58  242.74    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.21   2.38   0.00   0.00    0.00      0.00        0.00   -0.21   -2.38    0.00    0.00
 2022 179    59  240.24    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.20   2.30   0.00   0.00    0.00      0.00        0.00   -0.20   -2.30    0.00    0.00
 2022 180    60  237.37    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.19   2.69   0.00   0.00   -0.00      0.00        0.00   -0.19   -2.69    0.00    0.00
 2022 181    61  235.29    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.17   1.90   0.00   0.00    0.00      0.00        0.00   -0.17   -1.90    0.00    0.00
 2022 182    62  233.19    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.16   1.93   0.00   0.00   -0.00      0.00        0.00   -0.16   -1.93    0.00    0.00
 2022 183    63  253.56    0.00    0.00   0.00   0.00  25.90   0.00    0.00   0.00   0.00   0.00   0.00   3.48   2.06   0.00   0.00   -0.00      0.00       25.90   -3.48   -2.06    0.00    0.00
 2022 184    64  254.88    0.00    0.00   0.00   0.00   8.10   0.00    0.00   0.00   0.00   0.00   0.00   4.26   2.52   0.00   0.00   -0.00      0.00        8.10   -4.26   -2.52    0.00    0.00
 2022 185    65  246.83    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   5.01   3.03   0.00   0.00   -0.00      0.00        0.00   -5.01   -3.03    0.00    0.00
 2022 186    66  267.26    0.00    0.00   0.00   0.00  29.20   0.00    0.00   0.00   0.00   1.34   0.00   4.58   2.85   0.00   0.00    0.00      0.00       27.86   -4.58   -2.85    0.00    0.00
 2022 187    67  264.89    0.00    0.00   0.00   0.00   1.30   0.00    0.00   0.00   0.00   0.00   0.00   2.24   1.43   0.00   0.00    0.00      0.00        1.30   -2.24   -1.43    0.00    0.00
 2022 188    68  270.71    0.00    0.00   0.00   0.00  11.20   0.00    0.00   0.00   0.00   0.00   0.00   3.28   2.10   0.00   0.00   -0.00      0.00       11.20   -3.28   -2.10    0.00    0.00
 2022 189    69  263.38    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   4.42   2.92   0.00   0.00    0.00      0.00       -0.00   -4.42   -2.92    0.00    0.00
 2022 190    70  255.36    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   4.78   3.24   0.00   0.00   -0.00      0.00        0.00   -4.78   -3.24    0.00    0.00
 2022 191    71  248.29    0.00    0.00   0.00   0.00   1.50   0.00    0.00   0.00   0.00   0.00   0.00   5.00   3.57   0.00   0.00   -0.00      0.00        1.50   -5.00   -3.57    0.00    0.00
 2022 192    72  245.00    0.00    0.00   0.00   0.00   0.30   0.00    0.00   0.00   0.00   0.00   0.00   0.86   2.73   0.00   0.00    0.00      0.00        0.30   -0.86   -2.73    0.00    0.00
 2022 193    73  241.59    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.77   2.63   0.00   0.00   -0.00      0.00        0.00   -0.77   -2.63    0.00    0.00
 2022 194    74  238.40    0.00    0.00   0.00   0.00   0.30   0.00    0.00   0.00   0.00   0.00   0.00   0.70   2.80   0.00   0.00    0.00      0.00        0.30   -0.70   -2.80    0.00    0.00
 2022 195    75  233.92    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.62   3.86   0.00   0.00   -0.00      0.00        0.00   -0.62   -3.86    0.00    0.00
 2022 196    76  230.59    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.53   2.80   0.00   0.00    0.00      0.00        0.00   -0.53   -2.80    0.00    0.00
 2022 197    77  228.04    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.47   2.07   0.00   0.00    0.00      0.00        0.00   -0.47   -2.07    0.00    0.00
 2022 198    78  224.88    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.43   2.73   0.00   0.00    0.00      0.00        0.00   -0.43   -2.73    0.00    0.00
 2022 199    79  220.99    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.39   3.50   0.00   0.00   -0.00      0.00        0.00   -0.39   -3.50    0.00    0.00
 2022 200    80  217.80    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.36   2.83   0.00   0.00    0.00      0.00        0.00   -0.36   -2.83    0.00    0.00
 2022 201    81  214.84    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.33   2.63   0.00   0.00    0.00      0.00        0.00   -0.33   -2.63    0.00    0.00
 2022 202    82  225.28    0.00    0.00   0.00   0.00  17.30   0.00    0.00   0.00   0.00   0.00   0.00   3.98   2.88   0.00   0.00   -0.00      0.00       17.30   -3.98   -2.88    0.00    0.00
 2022 203    83  218.06    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   4.43   2.80   0.00   0.00    0.00      0.00        0.00   -4.43   -2.80    0.00    0.00
 2022 204    84  211.57    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   3.97   2.52   0.00   0.00    0.00      0.00        0.00   -3.97   -2.52    0.00    0.00
 2022 205    85  208.68    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.75   2.14   0.00   0.00    0.00      0.00        0.00   -0.75   -2.14    0.00    0.00
 2022 206    86  212.71    0.00    0.00   0.00   0.00   5.30   0.00    0.00   0.00   0.00   0.00   0.00   0.83   0.43   0.00   0.00    0.00      0.00        5.30   -0.83   -0.43    0.00    0.00
 2022 207    87  208.87    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   2.60   1.24   0.00   0.00   -0.00      0.00        0.00   -2.60   -1.24    0.00    0.00
 2022 208    88  229.08    0.00    0.00   0.00   0.00  24.40   0.00    0.00   0.00   0.00   0.12   0.00   2.80   1.28   0.00   0.00   -0.00      0.00       24.28   -2.80   -1.28    0.00    0.00
 2022 209    89  224.84    0.00    0.00   0.00   0.00   0.30   0.00    0.00   0.00   0.00   0.00   0.00   3.16   1.38   0.00   0.00    0.00      0.00        0.30   -3.16   -1.38    0.00    0.00
 2022 210    90  221.02    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   2.70   1.13   0.00   0.00    0.00      0.00       -0.00   -2.70   -1.13    0.00    0.00
 2022 211    91  214.70    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   4.36   1.95   0.00   0.00    0.00      0.00        0.00   -4.36   -1.95    0.00    0.00
 2022 212    92  212.28    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.81   1.61   0.00   0.00    0.00      0.00        0.00   -0.81   -1.61    0.00    0.00
 2022 213    93  209.49    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.72   2.07   0.00   0.00    0.00      0.00        0.00   -0.72   -2.07    0.00    0.00
 2022 214    94  208.20    0.00    0.00   0.00   0.00   1.50   0.00    0.00   0.00   0.00   0.00   0.00   0.69   2.10   0.00   0.00    0.00      0.00        1.50   -0.69   -2.10    0.00    0.00
 2022 215    95  205.80    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.67   1.73   0.00   0.00   -0.00      0.00        0.00   -0.67   -1.73    0.00    0.00
 2022 216    96  203.55    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.59   1.67   0.00   0.00   -0.00      0.00        0.00   -0.59   -1.67    0.00    0.00
 2022 217    97  201.14    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.51   1.90   0.00   0.00   -0.00      0.00        0.00   -0.51   -1.90    0.00    0.00
 2022 218    98  199.37    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.45   1.32   0.00   0.00    0.00      0.00        0.00   -0.45   -1.32    0.00    0.00
 2022 219    99  199.36    0.00    0.00   0.00   0.00   0.80   0.00    0.00   0.00   0.00   0.00   0.00   0.45   0.36   0.00   0.00   -0.00      0.00        0.80   -0.45   -0.36    0.00    0.00
 2022 220   100  197.55    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.45   1.36   0.00   0.00    0.00      0.00        0.00   -0.45   -1.36    0.00    0.00
 2022 221   101  195.71    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.41   1.43   0.00   0.00    0.00      0.00        0.00   -0.41   -1.43    0.00    0.00
