*WATER BALANCE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  JAN 24, 2025 00:02:17

*RUN   1        : silt_loam_13in_irr        MZCER048 UNLI2201    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : UNLI2201 MZ IRRIGATED MAIZE PRODUCTION
 DATA PATH      :
 TREATMENT  1   : silt_loam_13in_irr        MZCER048
  
@YEAR DOY   DAS    SWTD    FWTD    SNTD   MWTD   IRRD   PRED  RESAD   LFLOD  MEVAP   DRND   ROFD   FROD   ESAD   EPAD   EFAD   TDFD    WBAL   CUMWBAL        TOTS    TOTU    TOTX    TOTT    TOTL
 2022 120     0  298.30    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00    0.00      0.00        0.00    0.00    0.00    0.00    0.00
 2022 121     1  297.37    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   0.00   0.00   0.00   0.93   0.00   0.00   0.00    0.00      0.00        0.00   -0.93    0.00    0.00    0.00
 2022 122     2  330.38    0.00    0.00   0.00   0.00  36.60   0.00    0.00   0.00   0.00   2.93   0.00   0.66   0.00   0.00   0.00    0.00      0.00       33.67   -0.66    0.00    0.00    0.00
 2022 123     3  314.48    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00  12.65   0.00   0.00   3.25   0.00   0.00   0.00    0.00      0.00      -12.65   -3.25    0.00    0.00    0.00
 2022 124     4  319.12    0.00    0.00   0.00   0.00   5.30   0.00    0.00   0.00   0.00   0.00   0.00   0.67   0.00   0.00   0.00    0.00      0.00        5.30   -0.67    0.00    0.00    0.00
 2022 125     5  319.61    0.00    0.00   0.00   0.00   2.80   0.00    0.00   0.00   0.00   0.00   0.00   2.31   0.00   0.00   0.00   -0.00      0.00        2.80   -2.31    0.00    0.00    0.00
 2022 126     6  305.98    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   7.77   0.00   0.00   5.86   0.00   0.00   0.00   -0.00      0.00       -7.77   -5.86    0.00    0.00    0.00
 2022 127     7  312.29    0.00    0.00   0.00   0.00  11.70   0.00    0.00   0.00   0.00   0.00   0.00   5.39   0.00   0.00   0.00    0.00      0.00       11.70   -5.39    0.00    0.00    0.00
 2022 128     8  302.23    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.00   4.37   0.00   0.00   5.69   0.00   0.00   0.00    0.00      0.00       -4.37   -5.69    0.00    0.00    0.00
 2022 129     9  321.40    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00   0.00   0.00   0.00   6.23   0.00   0.00   0.00   -0.00      0.00       25.40   -6.23    0.00    0.00    0.00
 2022 130    10  340.10    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00   0.00   0.00   0.00   6.70   0.00   0.00   0.00    0.00      0.00       25.40   -6.70    0.00    0.00    0.00
 2022 131    11  359.21    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00   0.00   0.00   0.00   6.29   0.00   0.00   0.00    0.00      0.00       25.40   -6.29    0.00    0.00    0.00
 2022 132    12  379.49    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00   0.00   0.00   0.00   5.12   0.00   0.00   0.00    0.00      0.00       25.40   -5.12    0.00    0.00    0.00
 2022 133    13  399.05    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00   0.00   0.00   0.00   5.85   0.00   0.00   0.00    0.00      0.00       25.40   -5.85    0.00    0.00    0.00
 2022 134    14  418.87    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00   0.00   0.00   0.00   5.58   0.00   0.00   0.00   -0.00      0.00       25.40   -5.58    0.00    0.00    0.00
 2022 135    15  438.74    0.00    0.00   0.00  25.40   1.00   0.00    0.00   0.00   0.00   0.00   0.00   6.53   0.00   0.00   0.00   -0.00      0.00       26.40   -6.53    0.00    0.00    0.00
 2022 136    16  457.54    0.00    0.00   0.00  25.40   0.30   0.00    0.00   0.00   0.00   0.00   0.00   6.89   0.00   0.00   0.00   -0.00      0.00       25.70   -6.89    0.00    0.00    0.00
 2022 137    17  476.10    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00   0.50   0.00   0.00   6.35   0.00   0.00   0.00   -0.00      0.00       24.90   -6.35    0.00    0.00    0.00
 2022 138    18  492.60    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00   1.61   0.00   0.00   7.27   0.02   0.00   0.00   -0.00      0.00       23.79   -7.27   -0.02    0.00    0.00
 2022 139    19  509.24    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00   2.96   0.00   0.00   5.77   0.03   0.00   0.00    0.00      0.00       22.44   -5.77   -0.03    0.00    0.00
 2022 140    20  528.44    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00   4.53   0.00   0.00   1.65   0.01   0.00   0.00    0.00      0.00       20.87   -1.65   -0.01    0.00    0.00
 2022 141    21  544.73    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00   6.32   0.00   0.00   2.77   0.02   0.00   0.00    0.00      0.00       19.08   -2.77   -0.02    0.00    0.00
 2022 142    22  557.93    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00   8.24   0.00   0.00   3.94   0.02   0.00   0.00    0.00      0.00       17.16   -3.94   -0.02    0.00    0.00
 2022 143    23  581.45    0.00    0.00   0.00  25.40  10.70   0.00    0.00   0.00  11.60   0.10   0.00   0.87   0.00   0.00   0.00   -0.00      0.00       24.40   -0.87   -0.00    0.00    0.00
 2022 144    24  590.38    0.00    0.00   0.00  25.40   2.30   0.00    0.00   0.00  16.97   0.00   0.00   1.80   0.00   0.00   0.00    0.00      0.00       10.73   -1.80   -0.00    0.00    0.00
 2022 145    25  587.43    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00  22.24   0.00   0.00   6.10   0.01   0.00   0.00   -0.00      0.00        3.16   -6.10   -0.01    0.00    0.00
 2022 146    26  586.40    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00  19.29   0.00   0.00   7.12   0.02   0.00   0.00   -0.00      0.00        6.11   -7.12   -0.02    0.00    0.00
 2022 147    27  585.68    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00  18.78   0.00   0.00   7.31   0.03   0.00   0.00    0.00      0.00        6.62   -7.31   -0.03    0.00    0.00
 2022 148    28  585.94    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00  18.58   0.00   0.00   6.51   0.05   0.00   0.00    0.00      0.00        6.82   -6.51   -0.05    0.00    0.00
 2022 149    29  586.90    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00  18.66   0.00   0.00   5.68   0.10   0.00   0.00    0.00      0.00        6.74   -5.68   -0.10    0.00    0.00
 2022 150    30  589.69    0.00    0.00   0.00  25.40   6.10   0.00    0.00   0.00  24.86   0.00   0.00   3.74   0.11   0.00   0.00    0.00      0.00        6.64   -3.74   -0.11    0.00    0.00
 2022 151    31  589.90    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00  21.55   0.00   0.00   3.51   0.13   0.00   0.00    0.00      0.00        3.85   -3.51   -0.13    0.00    0.00
 2022 152    32  588.73    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00  21.76   0.00   0.00   4.61   0.20   0.00   0.00   -0.00      0.00        3.64   -4.61   -0.20    0.00    0.00
 2022 153    33  587.93    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00  20.59   0.00   0.00   5.34   0.27   0.00   0.00    0.00      0.00        4.81   -5.34   -0.27    0.00    0.00
 2022 154    34  587.44    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00  19.79   0.00   0.00   5.77   0.34   0.00   0.00    0.00      0.00        5.61   -5.77   -0.34    0.00    0.00
 2022 155    35  586.53    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00  19.33   0.00   0.00   6.53   0.46   0.00   0.00    0.00      0.00        6.07   -6.53   -0.46    0.00    0.00
 2022 156    36  587.73    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00  18.89   0.00   0.00   4.88   0.43   0.00   0.00   -0.00      0.00        6.51   -4.88   -0.43    0.00    0.00
 2022 157    37  586.18    0.00    0.00   0.00  25.40   1.00   0.00    0.00   0.00  20.59   0.00   0.00   6.66   0.70   0.00   0.00    0.00      0.00        5.81   -6.66   -0.70    0.00    0.00
 2022 158    38  591.23    0.00    0.00   0.00  25.40  12.20   0.00    0.00   0.00  30.08   0.16   0.00   2.05   0.26   0.00   0.00    0.00      0.00        7.36   -2.05   -0.26    0.00    0.00
 2022 159    39  586.10    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00  23.09   0.00   0.00   6.55   0.89   0.00   0.00   -0.00      0.00        2.31   -6.55   -0.89    0.00    0.00
 2022 160    40  588.27    0.00    0.00   0.00  25.40   0.30   0.00    0.00   0.00  18.84   0.00   0.00   4.08   0.61   0.00   0.00    0.00      0.00        6.86   -4.08   -0.61    0.00    0.00
 2022 161    41  586.52    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00  20.13   0.00   0.00   6.12   0.90   0.00   0.00    0.00      0.00        5.27   -6.12   -0.90    0.00    0.00
 2022 162    42  585.08    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00  18.92   0.00   0.00   6.94   0.98   0.00   0.00    0.00      0.00        6.48   -6.94   -0.98    0.00    0.00
 2022 163    43  583.98    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00  18.58   0.00   0.00   6.96   0.96   0.00   0.00   -0.00      0.00        6.82   -6.96   -0.96    0.00    0.00
 2022 164    44  579.74    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00  18.40   0.00   0.00   9.89   1.35   0.00   0.00   -0.00      0.00        7.00   -9.89   -1.35    0.00    0.00
 2022 165    45  579.73    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00  17.82   0.00   0.00   6.68   0.91   0.00   0.00   -0.00      0.00        7.58   -6.68   -0.91    0.00    0.00
 2022 166    46  579.45    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00  17.78   0.00   0.00   6.96   0.94   0.00   0.00    0.00      0.00        7.62   -6.96   -0.94    0.00    0.00
 2022 167    47  579.34    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00  17.72   0.00   0.00   6.86   0.93   0.00   0.00    0.00      0.00        7.68   -6.86   -0.93    0.00    0.00
 2022 168    48  576.94    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00  17.65   0.00   0.00   8.92   1.22   0.00   0.00    0.00      0.00        7.75   -8.92   -1.22    0.00    0.00
 2022 169    49  575.13    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00  17.51   0.00   0.00   8.45   1.26   0.00   0.00    0.00      0.00        7.89   -8.45   -1.26    0.00    0.00
 2022 170    50  574.37    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00  17.36   0.00   0.00   7.54   1.25   0.00   0.00    0.00      0.00        8.04   -7.54   -1.25    0.00    0.00
 2022 171    51  575.38    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00  17.22   0.00   0.00   6.05   1.12   0.00   0.00   -0.00      0.00        8.18   -6.05   -1.12    0.00    0.00
 2022 172    52  579.38    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00  17.14   0.00   0.00   3.54   0.72   0.00   0.00    0.00      0.00        8.26   -3.54   -0.72    0.00    0.00
 2022 173    53  581.54    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00  17.20   0.00   0.00   4.99   1.04   0.00   0.00   -0.00      0.00        8.20   -4.99   -1.04    0.00    0.00
 2022 174    54  581.03    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00  17.33   0.00   0.00   7.07   1.52   0.00   0.00    0.00      0.00        8.07   -7.07   -1.52    0.00    0.00
 2022 175    55  582.75    0.00    0.00   0.00  25.40   0.30   0.00    0.00   0.00  17.44   0.00   0.00   5.31   1.23   0.00   0.00   -0.00      0.00        8.26   -5.31   -1.23    0.00    0.00
 2022 176    56  584.69    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00  17.68   0.00   0.00   4.63   1.15   0.00   0.00    0.00      0.00        7.72   -4.63   -1.15    0.00    0.00
 2022 177    57  586.94    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00  18.16   0.00   0.00   3.98   1.01   0.00   0.00   -0.00      0.00        7.24   -3.98   -1.01    0.00    0.00
 2022 178    58  585.84    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00  18.95   0.00   0.00   6.03   1.52   0.00   0.00   -0.00      0.00        6.45   -6.03   -1.52    0.00    0.00
 2022 179    59  585.18    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00  18.79   0.00   0.00   5.78   1.49   0.00   0.00    0.00      0.00        6.61   -5.78   -1.49    0.00    0.00
 2022 180    60  583.53    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00  18.69   0.00   0.00   6.60   1.76   0.00   0.00   -0.00      0.00        6.71   -6.60   -1.76    0.00    0.00
 2022 181    61  584.74    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00  18.42   0.00   0.00   4.51   1.27   0.00   0.00    0.00      0.00        6.98   -4.51   -1.27    0.00    0.00
 2022 182    62  585.78    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00  18.56   0.00   0.00   4.48   1.32   0.00   0.00    0.00      0.00        6.84   -4.48   -1.32    0.00    0.00
 2022 183    63  587.43    0.00    0.00   0.00  25.40  25.90   0.00    0.00   0.00  40.64   2.90   0.00   4.71   1.41   0.00   0.00   -0.00      0.00        7.76   -4.71   -1.41    0.00    0.00
 2022 184    64  586.55    0.00    0.00   0.00  25.40   8.10   0.00    0.00   0.00  27.38   0.00   0.00   5.37   1.62   0.00   0.00   -0.00      0.00        6.12   -5.37   -1.62    0.00    0.00
 2022 185    65  584.58    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00  19.03   0.00   0.00   6.36   1.97   0.00   0.00    0.00      0.00        6.37   -6.36   -1.97    0.00    0.00
 2022 186    66  585.70    0.00    0.00   0.00  25.40  29.20   0.00    0.00   0.00  41.85   3.79   0.00   5.95   1.89   0.00   0.00    0.00      0.00        8.96   -5.95   -1.89    0.00    0.00
 2022 187    67  589.47    0.00    0.00   0.00  25.40   1.30   0.00    0.00   0.00  19.13   0.00   0.00   2.86   0.94   0.00   0.00    0.00      0.00        7.57   -2.86   -0.94    0.00    0.00
 2022 188    68  587.90    0.00    0.00   0.00  25.40  11.20   0.00    0.00   0.00  32.39   0.14   0.00   4.25   1.39   0.00   0.00    0.00      0.00        4.07   -4.25   -1.39    0.00    0.00
 2022 189    69  585.95    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00  19.76   0.00   0.00   5.69   1.90   0.00   0.00    0.00      0.00        5.64   -5.69   -1.90    0.00    0.00
 2022 190    70  584.00    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00  18.89   0.00   0.00   6.30   2.15   0.00   0.00    0.00      0.00        6.51   -6.30   -2.15    0.00    0.00
 2022 191    71  582.90    0.00    0.00   0.00  25.40   1.50   0.00    0.00   0.00  18.66   0.00   0.00   6.95   2.40   0.00   0.00    0.00      0.00        8.24   -6.95   -2.40    0.00    0.00
 2022 192    72  583.07    0.00    0.00   0.00  25.40   0.30   0.00    0.00   0.00  18.37   0.00   0.00   5.32   1.84   0.00   0.00   -0.00      0.00        7.33   -5.32   -1.84    0.00    0.00
 2022 193    73  583.10    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00  18.36   0.00   0.00   5.24   1.77   0.00   0.00   -0.00      0.00        7.04   -5.24   -1.77    0.00    0.00
 2022 194    74  582.90    0.00    0.00   0.00  25.40   0.30   0.00    0.00   0.00  18.30   0.00   0.00   5.71   1.89   0.00   0.00    0.00      0.00        7.40   -5.71   -1.89    0.00    0.00
 2022 195    75  579.54    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00  18.19   0.00   0.00   7.96   2.61   0.00   0.00    0.00      0.00        7.21   -7.96   -2.61    0.00    0.00
 2022 196    76  579.41    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00  17.81   0.00   0.00   5.82   1.90   0.00   0.00    0.00      0.00        7.59   -5.82   -1.90    0.00    0.00
 2022 197    77  581.24    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00  17.77   0.00   0.00   4.38   1.41   0.00   0.00    0.00      0.00        7.63   -4.38   -1.41    0.00    0.00
 2022 198    78  581.10    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00  17.80   0.00   0.00   5.88   1.86   0.00   0.00   -0.00      0.00        7.60   -5.88   -1.86    0.00    0.00
 2022 199    79  578.68    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00  17.78   0.00   0.00   7.66   2.39   0.00   0.00    0.00      0.00        7.62   -7.66   -2.39    0.00    0.00
 2022 200    80  578.21    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00  17.70   0.00   0.00   6.24   1.93   0.00   0.00   -0.00      0.00        7.70   -6.24   -1.93    0.00    0.00
 2022 201    81  578.25    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00  17.63   0.00   0.00   5.92   1.80   0.00   0.00   -0.00      0.00        7.77   -5.92   -1.80    0.00    0.00
 2022 202    82  585.01    0.00    0.00   0.00  25.40  17.30   0.00    0.00   0.00  26.61   0.80   0.00   6.56   1.98   0.00   0.00   -0.00      0.00       15.29   -6.56   -1.98    0.00    0.00
 2022 203    83  583.81    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00  18.67   0.00   0.00   6.11   1.82   0.00   0.00    0.00      0.00        6.73   -6.11   -1.82    0.00    0.00
 2022 204    84  583.16    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00  18.53   0.00   0.00   5.86   1.67   0.00   0.00   -0.00      0.00        6.87   -5.86   -1.67    0.00    0.00
 2022 205    85  583.54    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00  18.37   0.00   0.00   5.23   1.42   0.00   0.00    0.00      0.00        7.03   -5.23   -1.42    0.00    0.00
 2022 206    86  592.14    0.00    0.00   0.00  25.40   5.30   0.00    0.00   0.00  20.70   0.00   0.00   1.11   0.29   0.00   0.00    0.00      0.00       10.00   -1.11   -0.29    0.00    0.00
 2022 207    87  589.46    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00  24.00   0.00   0.00   3.28   0.81   0.00   0.00    0.00      0.00        1.40   -3.28   -0.81    0.00    0.00
 2022 208    88  589.18    0.00    0.00   0.00  25.40  24.40   0.00    0.00   0.00  43.16   2.56   0.00   3.53   0.83   0.00   0.00   -0.00      0.00        4.08   -3.53   -0.83    0.00    0.00
 2022 209    89  588.87    0.00    0.00   0.00  25.40   0.30   0.00    0.00   0.00  21.34   0.00   0.00   3.81   0.86   0.00   0.00    0.00      0.00        4.36   -3.81   -0.86    0.00    0.00
 2022 210    90  589.53    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00  20.73   0.00   0.00   3.30   0.71   0.00   0.00   -0.00      0.00        4.67   -3.30   -0.71    0.00    0.00
 2022 211    91  586.27    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00  21.39   0.00   0.00   6.03   1.24   0.00   0.00    0.00      0.00        4.01   -6.03   -1.24    0.00    0.00
 2022 212    92  586.55    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00  18.89   0.00   0.00   5.20   1.03   0.00   0.00    0.00      0.00        6.51   -5.20   -1.03    0.00    0.00
 2022 213    93  584.64    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00  19.02   0.00   0.00   6.97   1.32   0.00   0.00    0.00      0.00        6.38   -6.97   -1.32    0.00    0.00
 2022 214    94  584.19    0.00    0.00   0.00  25.40   1.50   0.00    0.00   0.00  18.69   0.00   0.00   7.33   1.33   0.00   0.00    0.00      0.00        8.21   -7.33   -1.33    0.00    0.00
 2022 215    95  583.79    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00  18.46   0.00   0.00   6.25   1.09   0.00   0.00   -0.00      0.00        6.94   -6.25   -1.09    0.00    0.00
 2022 216    96  583.44    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00  18.40   0.00   0.00   6.30   1.05   0.00   0.00   -0.00      0.00        7.00   -6.30   -1.05    0.00    0.00
 2022 217    97  581.92    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00  18.27   0.00   0.00   7.45   1.20   0.00   0.00   -0.00      0.00        7.13   -7.45   -1.20    0.00    0.00
 2022 218    98  583.14    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00  17.98   0.00   0.00   5.38   0.83   0.00   0.00   -0.00      0.00        7.42   -5.38   -0.83    0.00    0.00
 2022 219    99  589.34    0.00    0.00   0.00  25.40   0.80   0.00    0.00   0.00  18.22   0.00   0.00   1.55   0.23   0.00   0.00   -0.00      0.00        7.98   -1.55   -0.23    0.00    0.00
 2022 220   100  586.70    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00  21.19   0.00   0.00   5.99   0.85   0.00   0.00   -0.00      0.00        4.21   -5.99   -0.85    0.00    0.00
 2022 221   101  585.68    0.00    0.00   0.00  25.40   0.00   0.00    0.00   0.00  19.01   0.00   0.00   6.51   0.90   0.00   0.00    0.00      0.00        6.39   -6.51   -0.90    0.00    0.00
