*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  APR 04, 2025 03:01:04

*RUN   1        : farm_23                   MZCER048 UNLI2309    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : UNLI2309 MZ PIO1366
 DATA PATH      :
 TREATMENT  1   : farm_23                   MZCER048
  
@YEAR DOY   DAS   DAP   CNAD   GNAD   VNAD   GN%D   VN%D   NUPC   LNAD   SNAD   LN%D   SN%D   RN%D   SNN0C   SNN1C
 2023 169    60    47   25.2    0.0   25.2   0.00   3.34   34.6   23.8    1.4    3.3   3.34   1.19    0.00    0.41
 2023 170    61    48   28.1    0.0   28.1   0.00   3.30   38.7   26.3    1.8    3.3   3.30   1.19    0.00    0.46
 2023 171    62    49   31.6    0.0   31.6   0.00   3.26   41.1   29.2    2.4    3.3   3.26   1.07    0.00    0.52
 2023 172    63    50   35.7    0.0   35.7   0.00   3.22   46.2   32.6    3.2    3.2   3.22   1.12    0.00    0.58
 2023 173    64    51   39.5    0.0   39.5   0.00   3.18   50.4   35.5    4.0    3.2   3.18   1.11    0.00    0.63
 2023 174    65    52   43.7    0.0   43.7   0.00   3.14   55.6   38.6    5.1    3.1   3.14   1.14    0.00    0.69
 2023 175    66    53   47.5    0.0   47.5   0.00   3.10   61.6   41.4    6.1    3.1   3.10   1.19    0.00    0.76
 2023 176    67    54   51.0    0.0   51.0   0.00   3.07   66.7   43.8    7.2    3.1   3.07   1.19    0.00    0.84
 2023 177    68    55   54.5    0.0   54.5   0.00   3.04   71.7   46.2    8.3    3.0   3.04   1.18    0.00    0.92
 2023 178    69    56   59.7    0.0   59.7   0.00   3.01   76.9   49.6   10.1    3.0   3.01   1.12    0.00    1.01
 2023 179    70    57   66.2    0.0   66.2   0.00   2.96   84.2   53.6   12.6    3.0   2.96   1.12    0.00    1.10
 2023 180    71    58   71.5    0.0   71.5   0.00   2.92   91.2   56.7   14.8    2.9   2.92   1.14    0.00    1.19
