*SOIL INORGANIC N BALANCE

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  JAN 17, 2025 18:38:41

*RUN   1        : silt_loam_13in_irr        MZCER048 UNLI2201    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : UNLI2201 MZ IRRIGATED MAIZE PRODUCTION
 DATA PATH      :
 TREATMENT  1   : silt_loam_13in_irr        MZCER048
  
!               |------------------- STATE VARIABLES -------------------|---- ADDED ---|----------------------------- REMOVED TODAY --------------------------|    DAILY     CUMUL
@YEAR DOY  DAS     NO3     NH4   TUREA   TNGAS  FLOODN  ALGFIX  UNFERT   AFERT  AMINER  RIMMOB    RLCH    RLTD    RNUP    RNRO    RAML   N2OED    N2ED    NOED      DBAL      CBAL
 2022 147   27   4.549   1.496   0.000   0.033   0.000   0.000   0.000     0.0  0.1592  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0002  0.0008  0.0005   -0.0000   -0.0000
 2022 148   28   4.772   1.515   0.000   0.033   0.000   0.000   0.000     0.0  0.2438  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0002  0.0008  0.0005   -0.0000   -0.0000
 2022 149   29   5.035   1.570   0.000   0.033   0.000   0.000   0.000     0.0  0.3200  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0002  0.0008  0.0006    0.0000   -0.0000
 2022 150   30   5.352   1.650   0.000   0.034   0.000   0.000   0.000     0.0  0.3988  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0002  0.0007  0.0006    0.0000   -0.0000
 2022 151   31   5.696   1.711   0.000   0.035   0.000   0.000   0.000     0.0  0.4073  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0001  0.0006  0.0005   -0.0000   -0.0000
 2022 152   32   5.911   1.759   0.000   0.036   0.000   0.000   0.000     0.0  0.4007  0.0000  0.0000  0.0000  0.1354  0.0000  0.0000  0.0002  0.0007  0.0008   -0.0000   -0.0000
 2022 153   33   5.985   1.786   0.000   0.036   0.000   0.000   0.000     0.0  0.3632  0.0000  0.0000  0.0000  0.2593  0.0000  0.0000  0.0002  0.0007  0.0008   -0.0000   -0.0000
 2022 154   34   6.002   1.796   0.000   0.037   0.000   0.000   0.000     0.0  0.3224  0.0000  0.0000  0.0000  0.2933  0.0000  0.0000  0.0002  0.0007  0.0009    0.0000   -0.0000
 2022 155   35   5.949   1.794   0.000   0.037   0.000   0.000   0.000     0.0  0.2903  0.0000  0.0000  0.0000  0.3434  0.0000  0.0000  0.0002  0.0006  0.0009    0.0000   -0.0000
 2022 156   36   5.822   1.807   0.000   0.037   0.000   0.000   0.000     0.0  0.3299  0.0000  0.0000  0.0000  0.4418  0.0000  0.0000  0.0002  0.0006  0.0010   -0.0000   -0.0000
 2022 157   37   5.789   1.833   0.000   0.038   0.000   0.000   0.000     0.0  0.3707  0.0000  0.0000  0.0000  0.3759  0.0000  0.0000  0.0002  0.0006  0.0010   -0.0000   -0.0000
 2022 158   38   5.839   1.865   0.000   0.039   0.000   0.000   0.000     0.0  0.4207  0.0000  0.0000  0.0000  0.3352  0.0000  0.0000  0.0002  0.0005  0.0011    0.0000   -0.0000
 2022 159   39   5.953   1.893   0.000   0.041   0.000   0.000   0.000     0.0  0.4474  0.0000  0.0000  0.0000  0.3027  0.0000  0.0000  0.0001  0.0002  0.0004    0.0000   -0.0000
 2022 160   40   6.132   1.919   0.000   0.042   0.000   0.000   0.000     0.0  0.4572  0.0000  0.0000  0.0000  0.2494  0.0000  0.0000  0.0002  0.0005  0.0011   -0.0000   -0.0000
