*GHG emissions output file

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  FEB 07, 2025 20:08:35

*RUN   1        : silt_loam_13in_irr        MZCER048 UNLI2201    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : UNLI2201 MZ IRRIGATED MAIZE PRODUCTION
 DATA PATH      :
 TREATMENT  1   : silt_loam_13in_irr        MZCER048
  
!               |------ Daily (g/ha) -----|--- Cumulative (kg/ha) ---|---- Cum CO2-equiv kg[CO2eq]/ha ---|
!                    CO2      N2O      CH4      CO2      N2O      CH4      CO2      N2O      CH4    Total
!                g[C]/ha  g[N]/ha  g[C]/ha kg[C]/ha kg[N]/ha kg[C]/ha    CO2eq    CO2eq    CO2eq    CO2eq
@YEAR DOY   DAS   CO2GED   N2OGED   CH4GED    CO2EC    N2OEC    CH4EC    CCEQC    NCEQC    MCEQC    TCEQC
 2022 195    75     6684     0.65     0.00      314     0.02     0.00     1153        8        0     1161
 2022 196    76     6549     0.64     0.00      321     0.02     0.00     1177        8        0     1185
 2022 197    77     6102     0.63     0.00      327     0.02     0.00     1199        9        0     1208
 2022 198    78     6268     0.62     0.00      333     0.02     0.00     1222        9        0     1231
 2022 199    79     6282     0.62     0.00      339     0.02     0.00     1245        9        0     1255
 2022 200    80     6130     0.61     0.00      345     0.02     0.00     1268        9        0     1277
 2022 201    81     5641     0.61     0.00      351     0.02     0.00     1289       10        0     1298
 2022 202    82     5361     0.60     0.00      356     0.02     0.00     1308       10        0     1318
 2022 203    83     5909     0.17     0.00      362     0.02     0.00     1330       10        0     1340
 2022 204    84     6049     0.50     0.00      368     0.02     0.00     1352       10        0     1362
 2022 205    85     5852     0.67     0.00      374     0.02     0.00     1374       11        0     1384
 2022 206    86     5579     0.65     0.00      380     0.02     0.00     1394       11        0     1405
 2022 207    87     5488     0.45     0.00      385     0.02     0.00     1414       11        0     1425
 2022 208    88     5216     0.66     0.00      391     0.02     0.00     1433       11        0     1445
 2022 209    89     5477     0.10     0.00      396     0.02     0.00     1453       12        0     1465
 2022 210    90     5161     0.32     0.00      401     0.02     0.00     1472       12        0     1484
 2022 211    91     5193     0.58     0.00      406     0.03     0.00     1491       12        0     1503
 2022 212    92     5249     0.73     0.00      412     0.03     0.00     1511       12        0     1523
 2022 213    93     5338     0.69     0.00      417     0.03     0.00     1530       13        0     1543
 2022 214    94     5494     0.65     0.00      422     0.03     0.00     1550       13        0     1563
 2022 215    95     5947     0.62     0.00      428     0.03     0.00     1572       13        0     1586
 2022 216    96     6017     0.61     0.00      434     0.03     0.00     1594       13        0     1608
