*SOIL INORGANIC N BALANCE

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  APR 04, 2025 15:47:32

*RUN   1        : farm_23                   MZCER048 UNLI2309    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : UNLI2309 MZ PIO1366
 DATA PATH      :
 TREATMENT  1   : farm_23                   MZCER048
  
!               |------------------- STATE VARIABLES -------------------|---- ADDED ---|----------------------------- REMOVED TODAY --------------------------|    DAILY     CUMUL
@YEAR DOY  DAS     NO3     NH4   TUREA   TNGAS  FLOODN  ALGFIX  UNFERT   AFERT  AMINER  RIMMOB    RLCH    RLTD    RNUP    RNRO    RAML   N2OED    N2ED    NOED      DBAL      CBAL
 2023 127   18  16.939   1.143   0.000   0.010   0.000   0.000   0.000     0.0  0.2394  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000    0.0000    0.0000
 2023 128   19  17.119   1.248   0.000   0.011   0.000   0.000   0.000     0.0  0.2853  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0001   -0.0000    0.0000
 2023 129   20  17.329   1.338   0.000   0.012   0.000   0.000   0.000     0.0  0.3004  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0001    0.0000    0.0000
 2023 130   21  17.554   1.407   0.000   0.013   0.000   0.000   0.000     0.0  0.2960  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0001   -0.0000    0.0000
 2023 131   22  17.748   1.494   0.000   0.019   0.000   0.000   0.000     0.0  0.2877  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000   -0.0000   -0.0000
 2023 132   23  17.944   1.590   0.000   0.026   0.000   0.000   0.000     0.0  0.2984  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000    0.0000    0.0000
 2023 133   24  18.137   1.679   0.000   0.031   0.000   0.000   0.000     0.0  0.2871  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000    0.0000    0.0000
 2023 134   25  18.363   1.736   0.000   0.038   0.000   0.000   0.000     0.0  0.2905  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0001  0.0001    0.0000    0.0000
 2023 135   26  18.598   1.758   0.000   0.044   0.000   0.000   0.000     0.0  0.2635  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0002  0.0001    0.0000    0.0000
 2023 136   27  18.443   1.749   0.000   0.048   0.000   0.000   0.000     0.0  0.2250  0.0000  0.3851  0.0000  0.0000  0.0000  0.0000  0.0001  0.0003  0.0001   -0.0000   -0.0000
 2023 137   28  18.643   1.723   0.000   0.050   0.000   0.000   0.000     0.0  0.2092  0.0000  0.0321  0.0000  0.0000  0.0000  0.0000  0.0001  0.0004  0.0001    0.0000   -0.0000
 2023 138   29  18.574   1.700   0.000   0.052   0.000   0.000   0.000     0.0  0.2171  0.0000  0.3060  0.0000  0.0000  0.0000  0.0000  0.0001  0.0005  0.0001    0.0000   -0.0000
 2023 139   30  18.747   1.677   0.000   0.053   0.000   0.000   0.000     0.0  0.2138  0.0000  0.0629  0.0000  0.0000  0.0000  0.0000  0.0001  0.0006  0.0001    0.0000    0.0000
 2023 140   31  18.977   1.653   0.000   0.053   0.000   0.000   0.000     0.0  0.2070  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0001  0.0007  0.0002   -0.0000   -0.0000
 2023 141   32  19.211   1.639   0.000   0.053   0.000   0.000   0.000     0.0  0.2220  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0001  0.0008  0.0002    0.0000    0.0000
 2023 142   33  19.457   1.632   0.000   0.054   0.000   0.000   0.000     0.0  0.2409  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0001  0.0008  0.0002    0.0000    0.0000
 2023 143   34  19.715   1.634   0.000   0.054   0.000   0.000   0.000     0.0  0.2603  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0001  0.0009  0.0002   -0.0000    0.0000
 2023 144   35  19.984   1.638   0.000   0.054   0.000   0.000   0.000     0.0  0.2744  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0001  0.0009  0.0002    0.0000    0.0000
 2023 145   36  20.249   1.655   0.000   0.054   0.000   0.000   0.000     0.0  0.3183  0.0000  0.0000  0.0000  0.0336  0.0000  0.0000  0.0001  0.0010  0.0002   -0.0000    0.0000
 2023 146   37  20.471   1.675   0.000   0.055   0.000   0.000   0.000     0.0  0.3537  0.0000  0.0304  0.0000  0.0797  0.0000  0.0000  0.0001  0.0010  0.0002   -0.0000   -0.0000
 2023 147   38  20.533   1.746   0.000   0.057   0.000   0.000   0.000     0.0  0.3561  0.0000  0.0373  0.0000  0.1837  0.0000  0.0000  0.0000  0.0002  0.0000    0.0000    0.0000
 2023 148   39  20.416   1.795   0.000   0.060   0.000   0.000   0.000     0.0  0.3557  0.0000  0.0631  0.0000  0.3569  0.0000  0.0000  0.0001  0.0005  0.0001    0.0000    0.0000
 2023 149   40  20.182   1.878   0.000   0.068   0.000   0.000   0.000     0.0  0.3550  0.0000  0.1115  0.0000  0.3859  0.0000  0.0000  0.0000  0.0002  0.0001   -0.0000    0.0000
 2023 150   41  18.836   1.933   0.000   0.077   0.000   0.000   0.000     0.0  0.3654  0.0000  1.3120  0.0000  0.3358  0.0000  0.0000  0.0001  0.0004  0.0001    0.0000    0.0000
 2023 151   42  18.340   1.938   0.000   0.081   0.000   0.000   0.000     0.0  0.3744  0.0000  0.5245  0.0000  0.3354  0.0000  0.0000  0.0001  0.0008  0.0002   -0.0000    0.0000
 2023 152   43  18.259   1.925   0.000   0.082   0.000   0.000   0.000     0.0  0.3912  0.0000  0.1405  0.0000  0.3416  0.0000  0.0000  0.0002  0.0011  0.0003   -0.0000    0.0000
 2023 153   44  18.208   1.907   0.000   0.082   0.000   0.000   0.000     0.0  0.3958  0.0000  0.0000  0.0000  0.4621  0.0000  0.0000  0.0002  0.0011  0.0003   -0.0000   -0.0000
 2023 154   45  18.181   1.889   0.000   0.082   0.000   0.000   0.000     0.0  0.4021  0.0000  0.0254  0.0000  0.4206  0.0000  0.0000  0.0002  0.0011  0.0003   -0.0000   -0.0000
 2023 155   46  17.579   1.936   0.000   0.085   0.000   0.000   0.000     0.0  0.3862  0.0000  0.6800  0.0000  0.2581  0.0000  0.0000  0.0000  0.0002  0.0001    0.0000   -0.0000
 2023 156   47  17.884   1.938   0.000   0.086   0.000   0.000   0.000     0.0  0.3811  0.0000  0.0290  0.0000  0.0430  0.0000  0.0000  0.0001  0.0007  0.0002    0.0000   -0.0000
 2023 157   48  41.480  39.130  23.202   0.088   0.000   0.000   0.000    84.0  0.3843  0.0000  0.2215  0.0000  0.1708  0.0000  0.0000  0.0002  0.0008  0.0002    0.0000    0.0000
 2023 158   49  47.375  37.476  14.606   0.105   0.000   0.000   0.000     0.0  0.3874  0.0000  0.0438  0.0000  4.6778  0.0000  0.0000  0.0007  0.0011  0.0010   -0.0000   -0.0000
 2023 159   50  55.745  33.636   9.139   0.125   0.000   0.000   0.000     0.0  0.3964  0.0000  0.0000  0.0000  1.3092  0.0000  0.0000  0.0014  0.0012  0.0022    0.0000    0.0000
 2023 160   51  63.131  28.233   5.629   0.143   0.000   0.000   0.000     0.0  0.4177  0.0000  0.0000  0.0000  1.9201  0.0000  0.0000  0.0020  0.0012  0.0032    0.0000    0.0000
 2023 161   52  69.639  22.729   3.407   0.156   0.000   0.000   0.000     0.0  0.4412  0.0000  0.0000  0.0000  1.6382  0.0000  0.0000  0.0025  0.0012  0.0040   -0.0000    0.0000
 2023 162   53  74.282  17.926   2.064   0.165   0.000   0.000   0.000     0.0  0.4406  0.0000  0.0000  0.0000  1.9260  0.0000  0.0000  0.0028  0.0013  0.0046   -0.0000    0.0000
 2023 163   54  77.518  14.209   1.267   0.169   0.000   0.000   0.000     0.0  0.4250  0.0000  0.0000  0.0000  1.6908  0.0000  0.0000  0.0030  0.0013  0.0050    0.0000    0.0000
 2023 164   55  79.327  11.485   0.799   0.169   0.000   0.000   0.000     0.0  0.3897  0.0000  0.0000  0.0000  1.7619  0.0000  0.0000  0.0031  0.0013  0.0052    0.0000    0.0000
 2023 165   56  79.806   9.425   0.516   0.166   0.000   0.000   0.000     0.0  0.3565  0.0000  0.0000  0.0000  2.2125  0.0000  0.0000  0.0031  0.0013  0.0052   -0.0000    0.0000
 2023 166   57  79.643   7.880   0.341   0.163   0.000   0.000   0.000     0.0  0.3262  0.0000  0.0000  0.0000  2.2035  0.0000  0.0000  0.0031  0.0013  0.0052    0.0000    0.0000
 2023 167   58  78.681   6.580   0.225   0.158   0.000   0.000   0.000     0.0  0.3295  0.0000  0.0000  0.0000  2.7029  0.0000  0.0000  0.0030  0.0013  0.0051   -0.0000    0.0000
 2023 168   59  77.791   5.533   0.147   0.153   0.000   0.000   0.000     0.0  0.3391  0.0000  0.0000  0.0000  2.3504  0.0000  0.0000  0.0029  0.0013  0.0049    0.0000    0.0000
 2023 169   60  76.238   4.635   0.095   0.148   0.000   0.000   0.000     0.0  0.3613  0.0000  0.0000  0.0000  2.8611  0.0000  0.0000  0.0028  0.0014  0.0048    0.0000    0.0000
 2023 170   61  73.485   3.867   0.060   0.143   0.000   0.000   0.000     0.0  0.3879  0.0000  0.0000  0.0000  3.9396  0.0000  0.0000  0.0027  0.0014  0.0046    0.0000    0.0000
 2023 171   62  70.409   3.252   0.037   0.138   0.000   0.000   0.000     0.0  0.4168  0.0000  0.0000  0.0000  4.1277  0.0000  0.0000  0.0026  0.0014  0.0044   -0.0000    0.0000
 2023 172   63  68.950   2.822   0.022   0.133   0.000   0.000   0.000     0.0  0.4312  0.0000  0.0000  0.0000  2.3320  0.0000  0.0000  0.0025  0.0014  0.0042    0.0000    0.0000
 2023 173   64  64.623   2.478   0.014   0.129   0.000   0.000   0.000     0.0  0.4499  0.0000  0.0000  0.0000  5.1261  0.0000  0.0000  0.0023  0.0014  0.0040    0.0000    0.0000
 2023 174   65  61.054   2.344   0.008   0.129   0.000   0.000   0.000     0.0  0.4937  0.0000  0.0000  0.0000  4.1988  0.0000  0.0000  0.0005  0.0003  0.0009    0.0000    0.0000
 2023 175   66  56.440   2.244   0.005   0.129   0.000   0.000   0.000     0.0  0.5039  0.0000  0.0000  0.0000  5.2197  0.0000  0.0000  0.0007  0.0004  0.0011   -0.0000    0.0000
 2023 176   67  51.058   2.132   0.003   0.126   0.000   0.000   0.000     0.0  0.4933  0.0000  0.0000  0.0000  5.9872  0.0000  0.0000  0.0017  0.0012  0.0028    0.0000    0.0000
 2023 177   68  46.478   2.048   0.002   0.121   0.000   0.000   0.000     0.0  0.4679  0.0000  0.0000  0.0000  5.1300  0.0000  0.0000  0.0020  0.0015  0.0035   -0.0000    0.0000
 2023 178   69  42.025   1.993   0.000   0.116   0.000   0.000   0.000     0.0  0.4483  0.0000  0.0000  0.0000  4.9558  0.0000  0.0000  0.0019  0.0015  0.0032    0.0000    0.0000
 2023 179   70  37.352   1.951   0.000   0.112   0.000   0.000   0.000     0.0  0.4604  0.0000  0.0000  0.0000  5.1741  0.0000  0.0000  0.0017  0.0014  0.0030    0.0000    0.0000
 2023 180   71  38.346  14.722   7.325   0.109   0.000   0.000   0.000    28.0  0.4834  0.0000  0.0000  0.0000  7.3916  0.0000  0.0000  0.0016  0.0014  0.0027    0.0000    0.0000
 2023 181   72  37.365  12.184   4.334   0.116   0.000   0.000   0.000     0.0  0.4964  0.0000  0.0000  0.0000  6.9952  0.0000  0.0000  0.0008  0.0007  0.0014   -0.0000    0.0000
 2023 182   73  37.808  10.722   2.568   0.120   0.000   0.000   0.000     0.0  0.5038  0.0000  0.0000  0.0000  3.2842  0.0000  0.0000  0.0005  0.0005  0.0009    0.0000    0.0000
 2023 183   74  35.860   8.242   1.521   0.123   0.000   0.000   0.000     0.0  0.5084  0.0000  0.0000  0.0000  5.9761  0.0000  0.0000  0.0013  0.0011  0.0021    0.0000    0.0000
 2023 184   75  31.956   5.878   0.907   0.123   0.000   0.000   0.000     0.0  0.5020  0.0000  0.0000  0.0000  7.3772  0.0000  0.0000  0.0017  0.0014  0.0029   -0.0000    0.0000
 2023 185   76  24.544   3.905   0.544   0.121   0.000   0.000   0.000     0.0  0.4957  0.0000  0.0000  0.0000 10.2402  0.0000  0.0000  0.0017  0.0014  0.0028    0.0000    0.0000
 2023 186   77  19.779   2.951   0.328   0.118   0.000   0.000   0.000     0.0  0.4878  0.0000  0.0000  0.0000  6.4202  0.0000  0.0000  0.0017  0.0013  0.0027   -0.0000    0.0000
 2023 187   78  18.055   2.617   0.202   0.115   0.000   0.000   0.000     0.0  0.4646  0.0000  0.0000  0.0000  2.6464  0.0000  0.0000  0.0016  0.0013  0.0026   -0.0000    0.0000
 2023 188   79  17.432   2.502   0.126   0.115   0.000   0.000   0.000     0.0  0.4427  0.0000  0.0000  0.0000  1.2539  0.0000  0.0000  0.0004  0.0004  0.0007   -0.0000    0.0000
 2023 189   80  17.318   2.446   0.080   0.116   0.000   0.000   0.000     0.0  0.4378  0.0000  0.0000  0.0000  0.6523  0.0000  0.0000  0.0005  0.0004  0.0008    0.0000    0.0000
 2023 190   81  17.024   2.438   0.053   0.116   0.000   0.000   0.000     0.0  0.3812  0.0000  0.1995  0.0000  0.5091  0.0000  0.0000  0.0004  0.0003  0.0007    0.0000    0.0000
 2023 191   82  17.154   2.367   0.036   0.113   0.000   0.000   0.000     0.0  0.3701  0.0000  0.0000  0.0000  0.3263  0.0000  0.0000  0.0013  0.0010  0.0021    0.0000    0.0000
 2023 192   83  16.544   2.355   0.024   0.114   0.000   0.000   0.000     0.0  0.4257  0.0000  0.5779  0.0000  0.4794  0.0000  0.0000  0.0004  0.0004  0.0007    0.0000    0.0000
 2023 193   84  16.727   2.277   0.016   0.112   0.000   0.000   0.000     0.0  0.4799  0.0000  0.0654  0.0000  0.3143  0.0000  0.0000  0.0012  0.0011  0.0020    0.0000    0.0000
 2023 194   85  16.825   2.171   0.011   0.109   0.000   0.000   0.000     0.0  0.5032  0.0000  0.0000  0.0000  0.5153  0.0000  0.0000  0.0015  0.0014  0.0025    0.0000    0.0001
 2023 195   86  16.652   2.197   0.007   0.110   0.000   0.000   0.000     0.0  0.5471  0.0000  0.0436  0.0000  0.6516  0.0000  0.0000  0.0004  0.0003  0.0006    0.0000    0.0001
 2023 196   87  15.604   2.228   0.005   0.110   0.000   0.000   0.000     0.0  0.5617  0.0000  1.0766  0.0000  0.5017  0.0000  0.0000  0.0004  0.0003  0.0006   -0.0000    0.0001
 2023 197   88  15.907   2.173   0.003   0.109   0.000   0.000   0.000     0.0  0.5454  0.0000  0.0000  0.0000  0.2976  0.0000  0.0000  0.0010  0.0009  0.0016   -0.0000    0.0001
 2023 198   89  15.884   2.111   0.002   0.106   0.000   0.000   0.000     0.0  0.5479  0.0000  0.0750  0.0000  0.5568  0.0000  0.0000  0.0013  0.0012  0.0022   -0.0000    0.0001
 2023 199   90  15.896   2.041   0.002   0.104   0.000   0.000   0.000     0.0  0.5343  0.0000  0.0000  0.0000  0.5904  0.0000  0.0000  0.0013  0.0012  0.0021    0.0000    0.0001
 2023 200   91  15.865   1.992   0.001   0.102   0.000   0.000   0.000     0.0  0.5316  0.0000  0.0000  0.0000  0.6103  0.0000  0.0000  0.0012  0.0012  0.0020    0.0000    0.0001
 2023 201   92  25.413  17.686   8.713   0.100   0.000   0.000   0.000    34.0  0.5446  0.0000  0.0000  0.0000  0.5875  0.0000  0.0000  0.0012  0.0011  0.0019   -0.0000    0.0001
 2023 202   93  20.854  10.028   5.131   0.105   0.000   0.000   0.000     0.0  0.5373  0.0000  0.0000  0.0000 16.3318  0.0000  0.0000  0.0003  0.0003  0.0004    0.0000    0.0001
 2023 203   94  18.284   6.412   3.079   0.106   0.000   0.000   0.000     0.0  0.5151  0.0000  0.0000  0.0000  8.7493  0.0000  0.0000  0.0008  0.0007  0.0013    0.0000    0.0001
 2023 204   95  16.992   4.703   1.844   0.107   0.000   0.000   0.000     0.0  0.5202  0.0000  0.0000  0.0000  4.7519  0.0000  0.0000  0.0004  0.0003  0.0006    0.0000    0.0001
 2023 205   96  16.441   3.757   1.097   0.107   0.000   0.000   0.000     0.0  0.5328  0.0000  0.0000  0.0000  2.7744  0.0000  0.0000  0.0009  0.0008  0.0014    0.0000    0.0001
 2023 206   97  16.227   3.139   0.645   0.106   0.000   0.000   0.000     0.0  0.5519  0.0000  0.0000  0.0000  1.8323  0.0000  0.0000  0.0013  0.0011  0.0021    0.0000    0.0002
 2023 207   98  16.106   2.867   0.367   0.108   0.000   0.000   0.000     0.0  0.6012  0.0000  0.0000  0.0000  1.2688  0.0000  0.0000  0.0003  0.0003  0.0006   -0.0000    0.0002
 2023 208   99  16.286   2.568   0.204   0.108   0.000   0.000   0.000     0.0  0.6508  0.0000  0.0000  0.0000  0.9300  0.0000  0.0000  0.0009  0.0009  0.0015   -0.0000    0.0002
 2023 209  100  16.369   2.333   0.111   0.107   0.000   0.000   0.000     0.0  0.6873  0.0000  0.0000  0.0000  0.9283  0.0000  0.0000  0.0013  0.0012  0.0021   -0.0000    0.0001
 2023 210  101  16.352   2.134   0.060   0.106   0.000   0.000   0.000     0.0  0.7030  0.0000  0.0000  0.0000  0.9670  0.0000  0.0000  0.0013  0.0012  0.0021    0.0000    0.0002
 2023 211  102  16.219   2.082   0.033   0.107   0.000   0.000   0.000     0.0  0.6934  0.0000  0.0000  0.0000  0.9020  0.0000  0.0000  0.0003  0.0003  0.0005    0.0000    0.0002
 2023 212  103  16.283   1.995   0.019   0.107   0.000   0.000   0.000     0.0  0.6909  0.0000  0.0000  0.0000  0.7262  0.0000  0.0000  0.0009  0.0008  0.0015    0.0000    0.0002
 2023 213  104  16.157   2.031   0.011   0.108   0.000   0.000   0.000     0.0  0.6761  0.0000  0.0000  0.0000  0.7714  0.0000  0.0000  0.0003  0.0003  0.0005   -0.0000    0.0002
 2023 214  105  24.101  15.482   6.685   0.108   0.000   0.000   0.000    28.0  0.6605  0.0000  0.0000  0.0000  0.5891  0.0000  0.0000  0.0008  0.0007  0.0013   -0.0000    0.0002
 2023 215  106  21.899   9.771   3.653   0.122   0.000   0.000   0.000     0.0  0.6572  0.0000  0.0000  0.0000 11.5878  0.0000  0.0000  0.0003  0.0003  0.0005    0.0000    0.0002
 2023 216  107  21.328   7.707   2.015   0.137   0.000   0.000   0.000     0.0  0.6515  0.0000  0.0000  0.0000  4.9079  0.0000  0.0000  0.0003  0.0004  0.0005   -0.0000    0.0001
 2023 217  108  18.597   5.879   1.137   0.155   0.000   0.000   0.000     0.0  0.6326  0.0000  1.2123  0.0000  4.8383  0.0000  0.0000  0.0003  0.0004  0.0005    0.0000    0.0002
 2023 218  109  17.188   4.195   0.680   0.158   0.000   0.000   0.000     0.0  0.6257  0.0000  0.3283  0.0000  3.8415  0.0000  0.0000  0.0010  0.0014  0.0015   -0.0000    0.0001
 2023 219  110  16.147   3.286   0.423   0.155   0.000   0.000   0.000     0.0  0.5995  0.0000  0.0000  0.0000  2.8014  0.0000  0.0000  0.0014  0.0023  0.0020    0.0000    0.0002
 2023 220  111  15.435   3.072   0.276   0.159   0.000   0.000   0.000     0.0  0.5455  0.0000  0.0000  0.0000  1.6146  0.0000  0.0000  0.0003  0.0006  0.0005   -0.0000    0.0001
 2023 221  112  21.558  12.876   6.078   0.159   0.000   0.000   0.000    22.0  0.5268  0.0000  0.0513  0.0000  0.7430  0.0000  0.0000  0.0009  0.0016  0.0012   -0.0000    0.0001
 2023 222  113  18.469   8.694   3.767   0.165   0.000   0.000   0.000     0.0  0.5147  0.0000  0.6170  0.0000  9.4703  0.0000  0.0000  0.0005  0.0009  0.0006    0.0000    0.0001
 2023 223  114  17.715   6.663   2.329   0.165   0.000   0.000   0.000     0.0  0.5252  0.0000  0.0164  0.0000  4.7269  0.0000  0.0000  0.0012  0.0024  0.0016   -0.0000    0.0001
 2023 224  115  16.411   4.663   1.426   0.162   0.000   0.000   0.000     0.0  0.5438  0.0000  0.0000  0.0000  4.7471  0.0000  0.0000  0.0017  0.0034  0.0022    0.0000    0.0001
 2023 225  116  15.737   3.660   0.854   0.158   0.000   0.000   0.000     0.0  0.5775  0.0000  0.0000  0.0000  2.8226  0.0000  0.0000  0.0017  0.0034  0.0023   -0.0000    0.0001
 2023 226  117  15.359   3.144   0.517   0.154   0.000   0.000   0.000     0.0  0.5661  0.0000  0.0000  0.0000  1.7942  0.0000  0.0000  0.0017  0.0033  0.0022    0.0000    0.0001
 2023 227  118  15.219   2.851   0.318   0.149   0.000   0.000   0.000     0.0  0.5467  0.0000  0.0000  0.0000  1.1758  0.0000  0.0000  0.0016  0.0032  0.0022   -0.0000    0.0001
 2023 228  119  15.178   2.671   0.200   0.145   0.000   0.000   0.000     0.0  0.5193  0.0000  0.0000  0.0000  0.8556  0.0000  0.0000  0.0016  0.0031  0.0022    0.0000    0.0001
 2023 229  120  15.224   2.539   0.124   0.141   0.000   0.000   0.000     0.0  0.5392  0.0000  0.0000  0.0000  0.6981  0.0000  0.0000  0.0015  0.0029  0.0021   -0.0000    0.0001
 2023 230  121  15.086   2.546   0.078   0.142   0.000   0.000   0.000     0.0  0.5359  0.0000  0.0000  0.0000  0.7121  0.0000  0.0000  0.0004  0.0007  0.0005    0.0000    0.0001
 2023 231  122  15.281   2.456   0.048   0.140   0.000   0.000   0.000     0.0  0.5987  0.0000  0.0000  0.0000  0.5205  0.0000  0.0000  0.0010  0.0019  0.0014   -0.0000    0.0001
 2023 232  123  15.468   2.317   0.028   0.137   0.000   0.000   0.000     0.0  0.6618  0.0000  0.0000  0.0000  0.6302  0.0000  0.0000  0.0015  0.0026  0.0020    0.0000    0.0001
 2023 233  124  15.585   2.166   0.017   0.134   0.000   0.000   0.000     0.0  0.7097  0.0000  0.0000  0.0000  0.7526  0.0000  0.0000  0.0014  0.0025  0.0020    0.0000    0.0002
 2023 234  125  15.072   2.185   0.010   0.135   0.000   0.000   0.000     0.0  0.7331  0.0000  0.4050  0.0000  0.8264  0.0000  0.0000  0.0003  0.0006  0.0005    0.0000    0.0002
 2023 235  126  15.328   2.085   0.006   0.134   0.000   0.000   0.000     0.0  0.8026  0.0000  0.0988  0.0000  0.5491  0.0000  0.0000  0.0010  0.0016  0.0014    0.0000    0.0002
 2023 236  127  15.467   1.970   0.003   0.132   0.000   0.000   0.000     0.0  0.8283  0.0000  0.0000  0.0000  0.8030  0.0000  0.0000  0.0013  0.0022  0.0019   -0.0000    0.0002
 2023 237  128  15.535   1.871   0.002   0.130   0.000   0.000   0.000     0.0  0.8374  0.0000  0.0000  0.0000  0.8664  0.0000  0.0000  0.0013  0.0021  0.0020    0.0000    0.0002
 2023 238  129  15.544   1.825   0.001   0.128   0.000   0.000   0.000     0.0  0.8279  0.0000  0.0000  0.0000  0.8615  0.0000  0.0000  0.0013  0.0020  0.0019   -0.0000    0.0002
 2023 239  130  15.487   1.837   0.001   0.126   0.000   0.000   0.000     0.0  0.7589  0.0000  0.0000  0.0000  0.8018  0.0000  0.0000  0.0012  0.0019  0.0019    0.0000    0.0002
 2023 240  131  15.450   1.869   0.001   0.124   0.000   0.000   0.000     0.0  0.6902  0.0000  0.0000  0.0000  0.6929  0.0000  0.0000  0.0012  0.0018  0.0019   -0.0000    0.0002
