*Surface Mulch daily output file

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  APR 04, 2025 15:47:32

*RUN   1        : farm_23                   MZCER048 UNLI2309    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : UNLI2309 MZ PIO1366
 DATA PATH      :
 TREATMENT  1   : farm_23                   MZCER048
  
@YEAR DOY   DAS    MCFD   MDEPD    MWAD    MWTD
 2023 239   130   0.950    3.07   10000    0.00
 2023 240   131   0.950    3.07   10000    0.00
 2023 241   132   0.950    3.07   10000    0.00
 2023 242   133   0.950    3.07   10000    0.00
 2023 243   134   0.950    3.07   10000    0.00
 2023 244   135   0.950    3.07   10000    0.00
 2023 245   136   0.950    3.07   10000    0.00
 2023 246   137   0.950    3.07   10000    0.00
 2023 247   138   0.950    3.07   10000    0.00
 2023 248   139   0.950    3.07   10000    0.00
 2023 249   140   0.950    3.07   10000    0.00
 2023 250   141   0.950    3.07   10000    0.00
 2023 251   142   0.950    3.07   10000    0.00
 2023 252   143   0.950    3.07   10000    0.00
 2023 253   144   0.950    3.07   10000    3.50
 2023 254   145   0.950    3.07   10000    2.73
 2023 255   146   0.950    3.07   10000    1.61
 2023 256   147   0.950    3.07   10000    0.48
 2023 257   148   0.950    3.07   10000    0.57
 2023 258   149   0.950    3.07   10000    3.43
 2023 259   150   0.950    3.07   10000    2.20
 2023 260   151   0.950    3.07   10000    1.00
 2023 261   152   0.950    3.07   10000    0.19
 2023 262   153   0.950    3.07   10000    0.04
 2023 263   154   0.950    3.07   10000    3.50
 2023 264   155   0.950    3.07   10000    2.51
 2023 265   156   0.950    3.07   10000    1.92
 2023 266   157   0.950    3.07   10000    2.88
 2023 267   158   0.950    3.07   10000    1.69
 2023 268   159   0.950    3.07   10000    0.59
