*GHG emissions output file

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  APR 04, 2025 15:47:32

*RUN   1        : farm_23                   MZCER048 UNLI2309    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : UNLI2309 MZ PIO1366
 DATA PATH      :
 TREATMENT  1   : farm_23                   MZCER048
  
!               |------ Daily (g/ha) -----|--- Cumulative (kg/ha) ---|---- Cum CO2-equiv kg[CO2eq]/ha ---|
!                    CO2      N2O      CH4      CO2      N2O      CH4      CO2      N2O      CH4    Total
!                g[C]/ha  g[N]/ha  g[C]/ha kg[C]/ha kg[N]/ha kg[C]/ha    CO2eq    CO2eq    CO2eq    CO2eq
@YEAR DOY   DAS   CO2GED   N2OGED   CH4GED    CO2EC    N2OEC    CH4EC    CCEQC    NCEQC    MCEQC    TCEQC
 2023 110     1     1436     0.00     0.00        1     0.00     0.00        5        0        0        5
 2023 111     2     1171     0.00     0.00        3     0.00     0.00       10        0        0       10
 2023 112     3      749     0.00     0.00        3     0.00     0.00       12        0        0       12
 2023 113     4      248     0.01     0.00        4     0.00     0.00       13        0        0       13
 2023 114     5        6     0.01     0.00        4     0.00     0.00       13        0        0       13
 2023 115     6        0     0.01     0.00        4     0.00     0.00       13        0        0       13
 2023 116     7        0     0.01     0.00        4     0.00     0.00       13        0        0       13
 2023 117     8       59     0.01     0.00        4     0.00     0.00       13        0        0       13
 2023 118     9      477     0.01     0.00        4     0.00     0.00       15        0        0       15
 2023 119    10      664     0.01     0.00        5     0.00     0.00       18        0        0       18
 2023 120    11      839     0.02     0.00        6     0.00     0.00       21        0        0       21
 2023 121    12      867     0.02     0.00        7     0.00     0.00       24        0        0       24
 2023 122    13      624     0.02     0.00        7     0.00     0.00       26        0        0       26
 2023 123    14      428     0.02     0.00        8     0.00     0.00       28        0        0       28
 2023 124    15      843     0.02     0.00        8     0.00     0.00       31        0        0       31
 2023 125    16     1289     0.01     0.00       10     0.00     0.00       36        0        0       36
 2023 126    17     1899     0.01     0.00       12     0.00     0.00       43        0        0       43
 2023 127    18     2394     0.02     0.00       14     0.00     0.00       51        0        0       51
 2023 128    19     2853     0.03     0.00       17     0.00     0.00       62        0        0       62
 2023 129    20     3004     0.03     0.00       20     0.00     0.00       73        0        0       73
 2023 130    21     2960     0.04     0.00       23     0.00     0.00       84        0        0       84
 2023 131    22     2877     0.01     0.00       26     0.00     0.00       94        0        0       94
 2023 132    23     2984     0.01     0.00       29     0.00     0.00      105        0        0      105
 2023 133    24     2871     0.01     0.00       32     0.00     0.00      116        0        0      116
 2023 134    25     2905     0.03     0.00       34     0.00     0.00      126        0        0      127
 2023 135    26     2635     0.05     0.00       37     0.00     0.00      136        0        0      136
 2023 136    27     2250     0.06     0.00       39     0.00     0.00      144        0        0      145
 2023 137    28     2092     0.08     0.00       41     0.00     0.00      152        0        0      152
 2023 138    29     2171     0.09     0.00       44     0.00     0.00      160        0        0      160
 2023 139    30     2138     0.09     0.00       46     0.00     0.00      168        0        0      168
 2023 140    31     2070     0.10     0.00       48     0.00     0.00      175        0        0      176
 2023 141    32     2220     0.11     0.00       50     0.00     0.00      184        0        0      184
 2023 142    33     2409     0.11     0.00       52     0.00     0.00      192        0        0      193
 2023 143    34     2603     0.12     0.00       55     0.00     0.00      202        1        0      203
 2023 144    35     2744     0.13     0.00       58     0.00     0.00      212        1        0      213
 2023 145    36     3183     0.14     0.00       61     0.00     0.00      224        1        0      224
 2023 146    37     3537     0.15     0.00       64     0.00     0.00      237        1        0      237
 2023 147    38     3561     0.03     0.00       68     0.00     0.00      250        1        0      251
 2023 148    39     3557     0.08     0.00       72     0.00     0.00      263        1        0      264
 2023 149    40     3550     0.03     0.00       75     0.00     0.00      276        1        0      277
 2023 150    41     3654     0.06     0.00       79     0.00     0.00      289        1        0      290
 2023 151    42     3744     0.13     0.00       83     0.00     0.00      303        1        0      304
 2023 152    43     3912     0.18     0.00       86     0.00     0.00      317        1        0      318
 2023 153    44     3958     0.20     0.00       90     0.00     0.00      332        1        0      333
 2023 154    45     4021     0.21     0.00       94     0.00     0.00      347        1        0      348
 2023 155    46     3862     0.05     0.00       98     0.00     0.00      361        1        0      362
 2023 156    47     3811     0.13     0.00      102     0.00     0.00      375        1        0      376
 2023 157    48     3843     0.16     0.00      106     0.00     0.00      389        1        0      390
 2023 158    49     3874     0.70     0.00      110     0.00     0.00      403        2        0      405
 2023 159    50     3964     1.41     0.00      114     0.00     0.00      418        2        0      420
 2023 160    51     4177     1.98     0.00      118     0.01     0.00      433        3        0      436
 2023 161    52     4412     2.46     0.00      122     0.01     0.00      449        4        0      454
 2023 162    53     4406     2.80     0.00      127     0.01     0.00      465        6        0      471
 2023 163    54     4250     3.02     0.00      131     0.02     0.00      481        7        0      488
 2023 164    55     3897     3.12     0.00      135     0.02     0.00      495        9        0      504
 2023 165    56     3615     3.14     0.00      139     0.02     0.00      509       10        0      519
 2023 166    57     3311     3.10     0.00      142     0.02     0.00      521       11        0      532
 2023 167    58     3349     3.04     0.00      145     0.03     0.00      533       13        0      546
 2023 168    59     3488     2.94     0.00      149     0.03     0.00      546       14        0      560
 2023 169    60     3723     2.83     0.00      152     0.03     0.00      559       16        0      575
 2023 170    61     4003     2.71     0.00      156     0.04     0.00      574       17        0      591
 2023 171    62     4303     2.61     0.00      161     0.04     0.00      590       18        0      608
 2023 172    63     4459     2.47     0.00      165     0.04     0.00      606       19        0      626
 2023 173    64     4658     2.33     0.00      170     0.04     0.00      623       20        0      644
 2023 174    65     5338     0.54     0.00      175     0.04     0.00      643       21        0      664
 2023 175    66     5533     0.66     0.00      181     0.04     0.00      663       21        0      684
 2023 176    67     5520     1.68     0.00      186     0.05     0.00      684       22        0      705
 2023 177    68     5239     2.04     0.00      191     0.05     0.00      703       23        0      725
 2023 178    69     5013     1.88     0.00      197     0.05     0.00      721       24        0      745
 2023 179    70     5147     1.73     0.00      202     0.05     0.00      740       24        0      764
 2023 180    71     5395     1.60     0.00      207     0.05     0.00      760       25        0      785
 2023 181    72     5628     0.80     0.00      213     0.05     0.00      781       25        0      806
 2023 182    73     5818     0.52     0.00      218     0.05     0.00      802       26        0      828
 2023 183    74     5957     1.26     0.00      224     0.06     0.00      824       26        0      850
 2023 184    75     5894     1.73     0.00      230     0.06     0.00      845       27        0      872
 2023 185    76     5790     1.70     0.00      236     0.06     0.00      867       28        0      895
 2023 186    77     5707     1.66     0.00      242     0.06     0.00      888       29        0      916
 2023 187    78     5459     1.61     0.00      247     0.06     0.00      908       29        0      937
 2023 188    79     5334     0.44     0.00      253     0.06     0.00      927       30        0      957
 2023 189    80     5340     0.48     0.00      258     0.06     0.00      947       30        0      977
 2023 190    81     4663     0.41     0.00      263     0.06     0.00      964       30        0      994
 2023 191    82     4676     1.27     0.00      267     0.07     0.00      981       31        0     1012
 2023 192    83     5358     0.45     0.00      273     0.07     0.00     1001       31        0     1032
 2023 193    84     6229     1.22     0.00      279     0.07     0.00     1024       31        0     1055
 2023 194    85     6553     1.53     0.00      285     0.07     0.00     1048       32        0     1080
 2023 195    86     6979     0.37     0.00      292     0.07     0.00     1073       32        0     1106
 2023 196    87     7199     0.36     0.00      300     0.07     0.00     1100       32        0     1132
 2023 197    88     7223     1.01     0.00      307     0.07     0.00     1126       33        0     1159
 2023 198    89     7352     1.34     0.00      314     0.07     0.00     1153       34        0     1187
 2023 199    90     7166     1.30     0.00      321     0.07     0.00     1179       34        0     1214
 2023 200    91     7126     1.23     0.00      328     0.07     0.00     1206       35        0     1240
 2023 201    92     7323     1.16     0.00      336     0.08     0.00     1232       35        0     1268
 2023 202    93     7301     0.27     0.00      343     0.08     0.00     1259       35        0     1295
 2023 203    94     7079     0.77     0.00      350     0.08     0.00     1285       36        0     1321
 2023 204    95     7135     0.36     0.00      357     0.08     0.00     1311       36        0     1347
 2023 205    96     7394     0.89     0.00      365     0.08     0.00     1339       36        0     1375
 2023 206    97     7695     1.27     0.00      372     0.08     0.00     1367       37        0     1404
 2023 207    98     8335     0.35     0.00      381     0.08     0.00     1397       37        0     1435
 2023 208    99     9199     0.94     0.00      390     0.08     0.00     1431       38        0     1469
 2023 209   100     9687     1.29     0.00      400     0.08     0.00     1467       38        0     1505
 2023 210   101     9823     1.27     0.00      409     0.08     0.00     1503       39        0     1542
 2023 211   102     9664     0.33     0.00      419     0.08     0.00     1538       39        0     1577
 2023 212   103     9739     0.90     0.00      429     0.08     0.00     1574       39        0     1613
 2023 213   104     9350     0.31     0.00      438     0.08     0.00     1608       40        0     1648
 2023 214   105     9257     0.79     0.00      447     0.09     0.00     1642       40        0     1682
 2023 215   106     9185     0.31     0.00      457     0.09     0.00     1676       40        0     1716
 2023 216   107     9090     0.32     0.00      466     0.09     0.00     1709       40        0     1749
 2023 217   108     8819     0.33     0.00      475     0.09     0.00     1742       40        0     1782
 2023 218   109     8958     0.99     0.00      484     0.09     0.00     1775       41        0     1815
 2023 219   110     8666     1.42     0.00      492     0.09     0.00     1806       41        0     1848
 2023 220   111     7800     0.34     0.00      500     0.09     0.00     1835       42        0     1877
 2023 221   112     7613     0.90     0.00      508     0.09     0.00     1863       42        0     1905
 2023 222   113     7445     0.48     0.00      515     0.09     0.00     1890       42        0     1932
 2023 223   114     7709     1.23     0.00      523     0.09     0.00     1919       43        0     1961
 2023 224   115     7990     1.70     0.00      531     0.09     0.00     1948       44        0     1991
 2023 225   116     8451     1.72     0.00      539     0.09     0.00     1979       44        0     2023
 2023 226   117     8245     1.68     0.00      547     0.10     0.00     2009       45        0     2054
 2023 227   118     7913     1.64     0.00      555     0.10     0.00     2038       46        0     2084
 2023 228   119     7474     1.59     0.00      563     0.10     0.00     2066       47        0     2112
 2023 229   120     7726     1.54     0.00      571     0.10     0.00     2094       47        0     2141
 2023 230   121     7729     0.36     0.00      578     0.10     0.00     2122       48        0     2170
 2023 231   122     8891     1.03     0.00      587     0.10     0.00     2155       48        0     2203
 2023 232   123     9873     1.46     0.00      597     0.10     0.00     2191       49        0     2240
 2023 233   124    10490     1.42     0.00      608     0.11     0.00     2230       49        0     2279
 2023 234   125    10618     0.34     0.00      618     0.11     0.00     2269       50        0     2318
 2023 235   126    11870     0.96     0.00      630     0.11     0.00     2312       50        0     2362
 2023 236   127    12254     1.33     0.00      642     0.11     0.00     2357       51        0     2408
 2023 237   128    12250     1.32     0.00      655     0.11     0.00     2402       51        0     2453
 2023 238   129    11980     1.28     0.00      667     0.11     0.00     2446       52        0     2498
 2023 239   130    10944     1.24     0.00      677     0.11     0.00     2486       52        0     2539
 2023 240   131     9870     1.20     0.00      687     0.11     0.00     2522       53        0     2576
 2023 241   132     9022     1.16     0.00      696     0.11     0.00     2556       54        0     2609
 2023 242   133     8412     0.26     0.00      705     0.11     0.00     2586       54        0     2640
 2023 243   134     8417     0.75     0.00      713     0.12     0.00     2617       54        0     2671
 2023 244   135     8846     0.27     0.00      722     0.12     0.00     2650       54        0     2704
 2023 245   136     9931     0.76     0.00      732     0.12     0.00     2686       55        0     2741
 2023 246   137    10584     1.05     0.00      743     0.12     0.00     2725       55        0     2780
 2023 247   138    11156     1.07     0.00      754     0.12     0.00     2766       56        0     2822
 2023 248   139    11447     1.04     0.00      765     0.12     0.00     2808       56        0     2864
 2023 249   140    10072     0.22     0.00      775     0.12     0.00     2845       56        0     2901
 2023 250   141     9139     0.65     0.00      784     0.12     0.00     2879       56        0     2935
 2023 251   142     8676     0.93     0.00      793     0.12     0.00     2910       57        0     2967
 2023 252   143     7952     0.99     0.00      801     0.12     0.00     2940       57        0     2997
 2023 253   144     7693     0.97     0.00      809     0.12     0.00     2968       58        0     3026
 2023 254   145     7695     0.20     0.00      816     0.12     0.00     2996       58        0     3054
 2023 255   146     7807     0.57     0.00      824     0.12     0.00     3025       58        0     3083
 2023 256   147     7462     0.82     0.00      832     0.12     0.00     3052       59        0     3111
 2023 257   148     7359     0.93     0.00      839     0.13     0.00     3079       59        0     3138
 2023 258   149     6914     0.92     0.00      846     0.13     0.00     3104       59        0     3164
 2023 259   150     7081     0.21     0.00      853     0.13     0.00     3130       59        0     3190
 2023 260   151     7526     0.60     0.00      861     0.13     0.00     3158       60        0     3218
 2023 261   152     7595     0.85     0.00      868     0.13     0.00     3186       60        0     3246
 2023 262   153     7983     0.95     0.00      876     0.13     0.00     3215       61        0     3276
 2023 263   154     8151     0.94     0.00      884     0.13     0.00     3245       61        0     3306
 2023 264   155     8308     0.73     0.00      893     0.13     0.00     3276       61        0     3337
 2023 265   156     8137     0.86     0.00      901     0.13     0.00     3306       62        0     3367
 2023 266   157     7912     0.89     0.00      909     0.13     0.00     3335       62        0     3397
 2023 267   158     7384     0.87     0.00      916     0.13     0.00     3362       63        0     3424
 2023 268   159     6937     0.85     0.00      923     0.13     0.00     3387       63        0     3450
