*SOIL INORGANIC N BALANCE

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  MAY 26, 2025 18:07:50

*RUN   1        : farm_23                   MZCER048 UNLI2309    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : UNLI2309 MZ PIO1366
 DATA PATH      :
 TREATMENT  1   : farm_23                   MZCER048
  
!               |------------------- STATE VARIABLES -------------------|---- ADDED ---|----------------------------- REMOVED TODAY --------------------------|    DAILY     CUMUL
@YEAR DOY  DAS     NO3     NH4   TUREA   TNGAS  FLOODN  ALGFIX  UNFERT   AFERT  AMINER  RIMMOB    RLCH    RLTD    RNUP    RNRO    RAML   N2OED    N2ED    NOED      DBAL      CBAL
 2020 137   28  42.669   4.536   0.000   0.226   0.000   0.000   0.000     0.0  0.0872  0.0000  0.0775  0.0000  0.0000  0.0000  0.0016  0.0004  0.0012  0.0003   -0.0000   -0.0000
 2020 138   29  41.606   4.349   0.000   0.263   0.000   0.000   0.000     0.0  0.1551  0.0000  1.3660  0.0000  0.0000  0.0000  0.0008  0.0004  0.0012  0.0003   -0.0000   -0.0000
 2020 139   30  42.027   4.040   0.000   0.276   0.000   0.000   0.000     0.0  0.1911  0.0000  0.0598  0.0000  0.0000  0.0000  0.0008  0.0012  0.0036  0.0008    0.0000   -0.0000
 2020 140   31  41.102   3.886   0.000   0.315   0.000   0.000   0.000     0.0  0.2004  0.0000  1.2366  0.0000  0.0000  0.0000  0.0010  0.0004  0.0013  0.0003   -0.0000   -0.0000
 2020 141   32  41.108   3.611   0.000   0.325   0.000   0.000   0.000     0.0  0.2080  0.0000  0.4578  0.0000  0.0000  0.0000  0.0019  0.0014  0.0045  0.0009    0.0000   -0.0000
 2020 142   33  41.634   3.274   0.000   0.322   0.000   0.000   0.000     0.0  0.2305  0.0000  0.0309  0.0000  0.0000  0.0000  0.0030  0.0021  0.0074  0.0015   -0.0000   -0.0000
 2020 143   34  42.100   2.993   0.000   0.318   0.000   0.000   0.000     0.0  0.2320  0.0000  0.0394  0.0000  0.0000  0.0000  0.0014  0.0021  0.0077  0.0015    0.0000   -0.0000
 2020 144   35  42.341   2.928   0.000   0.345   0.000   0.000   0.000     0.0  0.2642  0.0000  0.0573  0.0000  0.0000  0.0000  0.0008  0.0004  0.0015  0.0003   -0.0000   -0.0000
 2020 145   36  41.851   2.799   0.000   0.369   0.000   0.000   0.000     0.0  0.2926  0.0000  0.8814  0.0000  0.0000  0.0000  0.0008  0.0011  0.0041  0.0007    0.0000   -0.0000
 2020 146   37  42.247   2.637   0.000   0.371   0.000   0.000   0.000     0.0  0.2954  0.0000  0.0486  0.0000  0.0000  0.0000  0.0008  0.0016  0.0066  0.0011   -0.0000   -0.0000
 2020 147   38  41.057   2.608   0.000   0.407   0.000   0.000   0.000     0.0  0.2614  0.0000  1.4415  0.0000  0.0000  0.0000  0.0008  0.0004  0.0018  0.0003   -0.0000   -0.0000
 2020 148   39  40.841   2.502   0.000   0.415   0.000   0.000   0.000     0.0  0.2560  0.0000  0.5614  0.0000  0.0000  0.0000  0.0008  0.0012  0.0053  0.0008    0.0000   -0.0000
