*WATER BALANCE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  MAY 26, 2025 18:07:50

*RUN   1        : farm_23                   MZCER048 UNLI2309    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : UNLI2309 MZ PIO1366
 DATA PATH      :
 TREATMENT  1   : farm_23                   MZCER048
  
@YEAR DOY   DAS    SWTD    FWTD    SNTD   MWTD   IRRD   PRED  RESAD   LFLOD  MEVAP   DRND   ROFD   FROD   ESAD   EPAD   EFAD   TDFD    WBAL   CUMWBAL        TOTS    TOTU    TOTX    TOTT    TOTL
 2020 137    28  543.52    0.00    0.00   1.51   0.00   9.40   0.00    0.00   1.99   1.65   0.00   0.00   0.00   0.00   0.00   0.00    0.00      0.00        7.75    0.00    0.00    0.00    0.00
 2020 138    29  513.76    0.00    0.00   0.29   0.00   0.00   0.00    0.00   1.22  29.75   0.00   0.00   0.00   0.00   0.00   0.00   -0.00      0.00      -29.75    0.00    0.00    0.00    0.00
 2020 139    30  537.84    0.00    0.00   0.06  25.40   0.00   0.00    0.00   0.23   1.27   0.00   0.00   0.06   0.00   0.00   0.00    0.00      0.00       24.13    0.00    0.00    0.00    0.00
 2020 140    31  511.20    0.00    0.00   0.01   0.00   0.00   0.00    0.00   0.05  26.35   0.00   0.00   0.30   0.00   0.00   0.00   -0.00      0.00      -26.35    0.00    0.00    0.00    0.00
 2020 141    32  501.09    0.00    0.00   0.00   0.00   0.00   0.00    0.00   0.01   9.54   0.00   0.00   0.56   0.01   0.00   0.00    0.00      0.00       -9.54    0.00   -0.01    0.00    0.00
 2020 142    33  500.38    0.00    0.00   1.90   0.00   2.00   0.00    0.00   0.00   0.64   0.00   0.00   0.17   0.00   0.00   0.00   -0.00      0.00       -0.54    0.00   -0.00    0.00    0.00
 2020 143    34  524.97    0.00    0.00   0.65  25.40   0.30   0.00    0.00   1.54   0.81   0.00   0.00   0.00   0.01   0.00   0.00   -0.00      0.00       24.60   -0.00   -0.01    0.00    0.00
 2020 144    35  523.94    0.00    0.00   3.26   0.00   3.30   0.00    0.00   0.53   1.18   0.00   0.00   0.00   0.02   0.00   0.00    0.00      0.00       -1.01    0.00   -0.02    0.00    0.00
 2020 145    36  505.92    0.00    0.00   0.63   0.00   0.00   0.00    0.00   2.63  18.01   0.00   0.00   0.00   0.02   0.00   0.00   -0.00      0.00      -18.01    0.00   -0.02    0.00    0.00
 2020 146    37  540.12    0.00    0.00   3.53  25.40  13.20   0.00    0.00   0.51   0.97   0.00   0.00   0.00   0.02   0.00   0.00   -0.00      0.00       34.22    0.00   -0.02    0.00    0.00
