*GHG emissions output file

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  NOV 17, 2024 23:43:49

*RUN   1        : silt_loam_13in_irr        MZCER048 UNLI2201    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : UNLI2201 MZ IRRIGATED MAIZE PRODUCTION
 DATA PATH      :
 TREATMENT  1   : silt_loam_13in_irr        MZCER048
  
!               |------ Daily (g/ha) -----|--- Cumulative (kg/ha) ---|---- Cum CO2-equiv kg[CO2eq]/ha ---|
!                    CO2      N2O      CH4      CO2      N2O      CH4      CO2      N2O      CH4    Total
!                g[C]/ha  g[N]/ha  g[C]/ha kg[C]/ha kg[N]/ha kg[C]/ha    CO2eq    CO2eq    CO2eq    CO2eq
@YEAR DOY   DAS   CO2GED   N2OGED   CH4GED    CO2EC    N2OEC    CH4EC    CCEQC    NCEQC    MCEQC    TCEQC
 2022 121     1     1191     0.00     0.00        1     0.00     0.00        4        0        0        4
 2022 122     2     1153     0.00     0.00        2     0.00     0.00        9        0        0        9
 2022 123     3      791     0.00     0.00        3     0.00     0.00       12        0        0       12
 2022 124     4      466     0.00     0.00        4     0.00     0.00       13        0        0       13
 2022 125     5      270     0.00     0.00        4     0.00     0.00       14        0        0       14
 2022 126     6      260     0.00     0.00        4     0.00     0.00       15        0        0       15
 2022 127     7      518     0.01     0.00        5     0.00     0.00       17        0        0       17
 2022 128     8     1350     0.00     0.00        6     0.00     0.00       22        0        0       22
 2022 129     9     2239     0.01     0.00        8     0.00     0.00       30        0        0       30
 2022 130    10     2912     0.00     0.00       11     0.00     0.00       41        0        0       41
 2022 131    11     3317     0.00     0.00       14     0.00     0.00       53        0        0       53
 2022 132    12     3842     0.00     0.00       18     0.00     0.00       67        0        0       67
 2022 133    13     4098     0.00     0.00       22     0.00     0.00       82        0        0       82
 2022 134    14     3924     0.01     0.00       26     0.00     0.00       97        0        0       97
 2022 135    15     3845     0.01     0.00       30     0.00     0.00      111        0        0      111
 2022 136    16     3858     0.01     0.00       34     0.00     0.00      125        0        0      125
 2022 137    17     3571     0.03     0.00       38     0.00     0.00      138        0        0      138
 2022 138    18     3605     0.06     0.00       41     0.00     0.00      151        0        0      151
 2022 139    19     3948     0.08     0.00       45     0.00     0.00      166        0        0      166
 2022 140    20     4264     0.10     0.00       49     0.00     0.00      181        0        0      182
 2022 141    21     3808     0.11     0.00       53     0.00     0.00      195        0        0      196
 2022 142    22     3039     0.12     0.00       56     0.00     0.00      207        0        0      207
 2022 143    23     2075     0.12     0.00       58     0.00     0.00      214        0        0      214
 2022 144    24     1393     0.05     0.00       60     0.00     0.00      219        0        0      220
 2022 145    25      721     0.07     0.00       60     0.00     0.00      222        0        0      222
 2022 146    26      996     0.15     0.00       61     0.00     0.00      226        0        0      226
 2022 147    27     1592     0.17     0.00       63     0.00     0.00      231        1        0      232
 2022 148    28     2438     0.17     0.00       65     0.00     0.00      240        1        0      241
 2022 149    29     3200     0.18     0.00       69     0.00     0.00      252        1        0      253
 2022 150    30     3988     0.18     0.00       73     0.00     0.00      267        1        0      267
 2022 151    31     4073     0.15     0.00       77     0.00     0.00      282        1        0      282
 2022 152    32     4007     0.21     0.00       81     0.00     0.00      296        1        0      297
 2022 153    33     3632     0.21     0.00       84     0.00     0.00      310        1        0      311
 2022 154    34     3224     0.22     0.00       88     0.00     0.00      322        1        0      323
 2022 155    35     2903     0.22     0.00       91     0.00     0.00      332        1        0      333
 2022 156    36     3299     0.23     0.00       94     0.00     0.00      344        1        0      346
 2022 157    37     3707     0.23     0.00       98     0.00     0.00      358        1        0      359
 2022 158    38     4207     0.24     0.00      102     0.00     0.00      373        2        0      375
 2022 159    39     4474     0.09     0.00      106     0.00     0.00      390        2        0      391
 2022 160    40     4572     0.24     0.00      111     0.00     0.00      407        2        0      408
 2022 161    41     4568     0.30     0.00      115     0.00     0.00      423        2        0      425
 2022 162    42     4598     0.30     0.00      120     0.00     0.00      440        2        0      442
 2022 163    43     4868     0.30     0.00      125     0.00     0.00      458        2        0      460
 2022 164    44     5424     0.31     0.00      130     0.00     0.00      478        2        0      480
 2022 165    45     6195     0.32     0.00      136     0.01     0.00      501        2        0      503
 2022 166    46     6292     0.33     0.00      143     0.01     0.00      524        3        0      526
 2022 167    47     6246     0.33     0.00      149     0.01     0.00      547        3        0      549
 2022 168    48     5876     0.34     0.00      155     0.01     0.00      568        3        0      571
 2022 169    49     5919     0.35     0.00      161     0.01     0.00      590        3        0      593
 2022 170    50     5792     0.36     0.00      167     0.01     0.00      611        3        0      614
 2022 171    51     6018     0.36     0.00      173     0.01     0.00      633        3        0      637
 2022 172    52     6300     0.37     0.00      179     0.01     0.00      656        4        0      660
 2022 173    53     6158     0.38     0.00      185     0.01     0.00      679        4        0      683
 2022 174    54     5559     0.39     0.00      191     0.01     0.00      699        4        0      703
 2022 175    55     5291     0.39     0.00      196     0.01     0.00      719        4        0      723
 2022 176    56     4981     0.39     0.00      201     0.01     0.00      737        4        0      741
 2022 177    57     4404     0.39     0.00      205     0.01     0.00      753        4        0      758
 2022 178    58     4173     0.40     0.00      209     0.01     0.00      769        5        0      773
 2022 179    59     4159     0.40     0.00      214     0.01     0.00      784        5        0      789
 2022 180    60     3958     0.40     0.00      218     0.01     0.00      798        5        0      803
 2022 181    61     4045     0.40     0.00      222     0.01     0.00      813        5        0      818
 2022 182    62     4317     0.40     0.00      226     0.01     0.00      829        5        0      835
 2022 183    63     4629     0.41     0.00      231     0.01     0.00      846        6        0      852
 2022 184    64     5782     0.06     0.00      236     0.01     0.00      867        6        0      873
 2022 185    65     6240     0.10     0.00      243     0.01     0.00      890        6        0      896
 2022 186    66     6340     0.38     0.00      249     0.01     0.00      913        6        0      919
 2022 187    67     6668     0.10     0.00      256     0.01     0.00      938        6        0      944
 2022 188    68     6820     0.22     0.00      262     0.01     0.00      963        6        0      969
 2022 189    69     7008     0.10     0.00      269     0.01     0.00      989        6        0      995
 2022 190    70     7236     0.37     0.00      277     0.01     0.00     1015        6        0     1021
 2022 191    71     7253     0.69     0.00      284     0.01     0.00     1042        7        0     1048
 2022 192    72     7177     0.67     0.00      291     0.01     0.00     1068        7        0     1075
 2022 193    73     6925     0.65     0.00      298     0.02     0.00     1094        7        0     1101
 2022 194    74     6639     0.63     0.00      305     0.02     0.00     1118        7        0     1125
