*GHG emissions output file

*DSSAT Cropping System Model Ver. 4.8.2.000 -release  JAN 23, 2025 23:43:37

*RUN   1        : silt_loam_13in_irr        MZCER048 UNLI2201    1
 MODEL          : MZCER048 - Maize
 EXPERIMENT     : UNLI2201 MZ IRRIGATED MAIZE PRODUCTION
 DATA PATH      :
 TREATMENT  1   : silt_loam_13in_irr        MZCER048
  
!               |------ Daily (g/ha) -----|--- Cumulative (kg/ha) ---|---- Cum CO2-equiv kg[CO2eq]/ha ---|
!                    CO2      N2O      CH4      CO2      N2O      CH4      CO2      N2O      CH4    Total
!                g[C]/ha  g[N]/ha  g[C]/ha kg[C]/ha kg[N]/ha kg[C]/ha    CO2eq    CO2eq    CO2eq    CO2eq
@YEAR DOY   DAS   CO2GED   N2OGED   CH4GED    CO2EC    N2OEC    CH4EC    CCEQC    NCEQC    MCEQC    TCEQC
 2022 195    75     6909     0.10     0.00      327     0.00     0.00     1199        1        0     1200
 2022 196    76     7129     0.12     0.00      334     0.00     0.00     1225        1        0     1226
 2022 197    77     6879     0.10     0.00      341     0.00     0.00     1250        1        0     1252
 2022 198    78     7245     0.09     0.00      348     0.00     0.00     1277        1        0     1278
 2022 199    79     7532     0.11     0.00      355     0.00     0.00     1305        2        0     1306
 2022 200    80     7723     0.12     0.00      363     0.00     0.00     1333        2        0     1334
 2022 201    81     7374     0.11     0.00      371     0.00     0.00     1360        2        0     1362
 2022 202    82     7235     0.11     0.00      378     0.00     0.00     1387        2        0     1388
 2022 203    83     7268     0.12     0.00      385     0.00     0.00     1413        2        0     1415
 2022 204    84     7360     0.11     0.00      392     0.00     0.00     1440        2        0     1442
 2022 205    85     7472     0.11     0.00      400     0.00     0.00     1468        2        0     1469
 2022 206    86     7345     0.11     0.00      407     0.00     0.00     1495        2        0     1496
 2022 207    87     7027     0.08     0.00      414     0.00     0.00     1520        2        0     1522
 2022 208    88     6741     0.10     0.00      421     0.00     0.00     1545        2        0     1547
 2022 209    89     6385     0.10     0.00      427     0.00     0.00     1569        2        0     1571
 2022 210    90     5770     0.10     0.00      433     0.00     0.00     1590        2        0     1592
 2022 211    91     5663     0.10     0.00      439     0.00     0.00     1610        2        0     1613
 2022 212    92     5848     0.12     0.00      445     0.00     0.00     1632        2        0     1634
 2022 213    93     6052     0.11     0.00      451     0.00     0.00     1654        2        0     1656
 2022 214    94     6421     0.13     0.00      457     0.00     0.00     1678        2        0     1680
 2022 215    95     7051     0.13     0.00      464     0.01     0.00     1704        2        0     1706
 2022 216    96     7371     0.12     0.00      472     0.01     0.00     1731        2        0     1733
 2022 217    97     7615     0.13     0.00      479     0.01     0.00     1759        2        0     1761
 2022 218    98     7934     0.14     0.00      487     0.01     0.00     1788        3        0     1790
 2022 219    99     7900     0.12     0.00      495     0.01     0.00     1817        3        0     1819
 2022 220   100     7115     0.09     0.00      502     0.01     0.00     1843        3        0     1845
 2022 221   101     6775     0.13     0.00      509     0.01     0.00     1868        3        0     1870
 2022 222   102     6817     0.13     0.00      516     0.01     0.00     1893        3        0     1895
 2022 223   103     6600     0.14     0.00      522     0.01     0.00     1917        3        0     1920
 2022 224   104     6610     0.14     0.00      529     0.01     0.00     1941        3        0     1944
 2022 225   105     7265     0.15     0.00      536     0.01     0.00     1968        3        0     1971
 2022 226   106     7659     0.14     0.00      544     0.01     0.00     1996        3        0     1999
 2022 227   107     7728     0.13     0.00      552     0.01     0.00     2024        3        0     2027
 2022 228   108     7580     0.12     0.00      559     0.01     0.00     2052        3        0     2055
 2022 229   109     7060     0.10     0.00      566     0.01     0.00     2078        3        0     2081
 2022 230   110     6651     0.11     0.00      573     0.01     0.00     2102        3        0     2106
 2022 231   111     6501     0.14     0.00      579     0.01     0.00     2126        3        0     2130
 2022 232   112     6120     0.13     0.00      585     0.01     0.00     2149        3        0     2152
 2022 233   113     5784     0.13     0.00      591     0.01     0.00     2170        3        0     2173
 2022 234   114     6057     0.14     0.00      597     0.01     0.00     2192        4        0     2196
 2022 235   115     6190     0.14     0.00      604     0.01     0.00     2215        4        0     2219
 2022 236   116     6219     0.14     0.00      610     0.01     0.00     2238        4        0     2241
 2022 237   117     6429     0.13     0.00      616     0.01     0.00     2261        4        0     2265
 2022 238   118     6969     0.14     0.00      623     0.01     0.00     2287        4        0     2291
